iso3,year,share
AFG,2011,0.0282
AFG,2014,0.0357
AFG,2017,0.0367
AFG,2021,0.0134
AGO,2011,0.1592
AGO,2014,0.1486
ALB,2011,0.0856
ALB,2014,0.0748
ALB,2017,0.0866
ALB,2021,0.0966
ALB,2024,0.1476
ARE,2011,0.1916
ARE,2014,0.3212
ARE,2017,0.2867
ARE,2021,0.1032
ARG,2011,0.0380
ARG,2014,0.0408
ARG,2017,0.0720
ARG,2021,0.1115
ARG,2024,0.2312
ARM,2011,0.0082
ARM,2014,0.0164
ARM,2017,0.1002
ARM,2021,0.0560
ARM,2024,0.0912
AUS,2011,0.6192
AUS,2014,0.6143
AUS,2017,0.6212
AUS,2021,0.6917
AUT,2011,0.5159
AUT,2014,0.6037
AUT,2017,0.5580
AUT,2021,0.6667
AZE,2011,0.0161
AZE,2014,0.0533
AZE,2017,0.0453
AZE,2022,0.0437
AZE,2024,0.1696
BDI,2011,0.0331
BDI,2014,0.0400
BEL,2011,0.4258
BEL,2014,0.5551
BEL,2017,0.5564
BEL,2021,0.5695
BEN,2011,0.0702
BEN,2014,0.0714
BEN,2017,0.0980
BEN,2021,0.0515
BEN,2024,0.0755
BFA,2011,0.0791
BFA,2014,0.0866
BFA,2017,0.1207
BFA,2021,0.0752
BFA,2024,0.0948
BGD,2011,0.1664
BGD,2014,0.0745
BGD,2017,0.0992
BGD,2021,0.0601
BGD,2024,0.0966
BGR,2011,0.0480
BGR,2014,0.1434
BGR,2017,0.2780
BGR,2021,0.2312
BGR,2024,0.4770
BHR,2011,0.1629
BHR,2014,0.3468
BHR,2017,0.3071
BIH,2011,0.0608
BIH,2014,0.0882
BIH,2017,0.0979
BIH,2021,0.1866
BIH,2024,0.2413
BLR,2011,0.0681
BLR,2014,0.1488
BLR,2017,0.2219
BLZ,2014,0.2208
BLZ,2024,0.3331
BOL,2011,0.1707
BOL,2014,0.2353
BOL,2017,0.1636
BOL,2021,0.2004
BOL,2024,0.2215
BRA,2011,0.1029
BRA,2014,0.1233
BRA,2017,0.1450
BRA,2021,0.2282
BRA,2024,0.3415
BTN,2014,0.2257
BWA,2011,0.1647
BWA,2014,0.2661
BWA,2017,0.1796
BWA,2022,0.1727
BWA,2024,0.1560
CAF,2011,0.0247
CAF,2017,0.0575
CAN,2011,0.5320
CAN,2014,0.6263
CAN,2017,0.6762
CAN,2021,0.6391
CHE,2014,0.5535
CHE,2017,0.5951
CHE,2021,0.5623
CHL,2011,0.1242
CHL,2014,0.1501
CHL,2017,0.2113
CHL,2021,0.3108
CHN,2011,0.3209
CHN,2014,0.4110
CHN,2017,0.3381
CHN,2021,0.4469
CHN,2024,0.6652
CIV,2014,0.0885
CIV,2017,0.0644
CIV,2021,0.0588
CIV,2024,0.0839
CMR,2011,0.0994
CMR,2014,0.0772
CMR,2017,0.1092
CMR,2021,0.0861
CMR,2024,0.0922
COD,2011,0.0150
COD,2014,0.0472
COD,2017,0.0471
COD,2022,0.0465
COD,2024,0.0845
COG,2011,0.0595
COG,2014,0.0979
COG,2017,0.0738
COG,2021,0.0544
COG,2024,0.0518
COL,2011,0.0920
COL,2014,0.1225
COL,2017,0.0875
COL,2021,0.1139
COL,2024,0.1422
COM,2011,0.1077
COM,2022,0.1117
COM,2024,0.1522
CRI,2011,0.1990
CRI,2014,0.2419
CRI,2017,0.2304
CRI,2021,0.2185
CRI,2024,0.3495
CYP,2011,0.3044
CYP,2014,0.2196
CYP,2017,0.2602
CYP,2021,0.2810
CZE,2011,0.3548
CZE,2014,0.3757
CZE,2017,0.4531
CZE,2021,0.5977
DEU,2011,0.5590
DEU,2014,0.5790
DEU,2017,0.5538
DEU,2021,0.5714
DJI,2011,0.0335
DNK,2011,0.5651
DNK,2014,0.6469
DNK,2017,0.6311
DNK,2021,0.6729
DOM,2011,0.1597
DOM,2014,0.2652
DOM,2017,0.1948
DOM,2021,0.1243
DOM,2024,0.2730
DZA,2011,0.0433
DZA,2014,0.1377
DZA,2017,0.1142
DZA,2021,0.1605
DZA,2024,0.1655
ECU,2011,0.1451
ECU,2014,0.1426
ECU,2017,0.1223
ECU,2021,0.1310
ECU,2024,0.2200
EGY,2011,0.0069
EGY,2014,0.0408
EGY,2017,0.0623
EGY,2021,0.0355
EGY,2024,0.0793
ESP,2011,0.3505
ESP,2014,0.4815
ESP,2017,0.5083
ESP,2021,0.5353
EST,2011,0.2887
EST,2014,0.3164
EST,2017,0.4693
EST,2021,0.6178
ETH,2014,0.1363
ETH,2017,0.2629
ETH,2022,0.2265
ETH,2024,0.2510
FIN,2011,0.5614
FIN,2014,0.5696
FIN,2017,0.5454
FIN,2021,0.6204
FRA,2011,0.4952
FRA,2014,0.5216
FRA,2017,0.4808
FRA,2021,0.5370
GAB,2011,0.0866
GAB,2014,0.1801
GAB,2017,0.1346
GAB,2021,0.1129
GAB,2024,0.1075
GBR,2011,0.4380
GBR,2014,0.5230
GBR,2017,0.6368
GBR,2021,0.6098
GEO,2011,0.0105
GEO,2014,0.0096
GEO,2017,0.0460
GEO,2021,0.0779
GEO,2024,0.1869
GHA,2011,0.1614
GHA,2014,0.1859
GHA,2017,0.1619
GHA,2021,0.2106
GHA,2024,0.2594
GIN,2011,0.0204
GIN,2014,0.0287
GIN,2017,0.0646
GIN,2021,0.0490
GIN,2024,0.0683
