iso3,year,share
GMB,2017,0.0959
GMB,2022,0.1664
GMB,2024,0.2006
GRC,2011,0.1987
GRC,2014,0.1262
GRC,2017,0.1266
GRC,2021,0.2649
GTM,2011,0.1022
GTM,2014,0.1515
GTM,2017,0.1211
GTM,2022,0.1035
GTM,2024,0.1028
HKG,2011,0.4277
HKG,2014,0.5004
HKG,2017,0.5092
HKG,2021,0.5948
HND,2011,0.0855
HND,2014,0.1454
HND,2017,0.1461
HND,2021,0.1055
HND,2024,0.1483
HRV,2011,0.1223
HRV,2014,0.2728
HRV,2017,0.3579
HRV,2021,0.2524
HRV,2024,0.4577
HTI,2011,0.1805
HTI,2014,0.0938
HTI,2017,0.1216
HUN,2011,0.1725
HUN,2014,0.1930
HUN,2017,0.2365
HUN,2021,0.3191
IDN,2011,0.1529
IDN,2014,0.2656
IDN,2017,0.2153
IDN,2021,0.1956
IDN,2024,0.2257
IND,2011,0.1160
IND,2014,0.1436
IND,2017,0.1960
IND,2021,0.1275
IND,2024,0.2385
IRL,2011,0.5126
IRL,2014,0.4941
IRL,2017,0.4751
IRL,2021,0.6346
IRN,2011,0.1971
IRN,2014,0.2163
IRN,2017,0.2622
IRN,2021,0.2382
IRN,2024,0.2800
IRQ,2011,0.0544
IRQ,2014,0.0353
IRQ,2017,0.0162
IRQ,2021,0.0182
IRQ,2024,0.0720
ISL,2021,0.7584
ISR,2011,0.2475
ISR,2014,0.5347
ISR,2017,0.5344
ISR,2021,0.5935
ITA,2011,0.1548
ITA,2014,0.3403
ITA,2017,0.4530
ITA,2021,0.4887
JAM,2011,0.3041
JAM,2014,0.2969
JAM,2021,0.2404
JOR,2011,0.0826
JOR,2014,0.0375
JOR,2017,0.1011
JOR,2021,0.0400
JOR,2024,0.0676
JPN,2011,0.5133
JPN,2014,0.6042
JPN,2017,0.6446
JPN,2021,0.6383
KAZ,2011,0.0674
KAZ,2014,0.0805
KAZ,2017,0.1387
KAZ,2021,0.1911
KAZ,2024,0.2735
KEN,2011,0.2328
KEN,2014,0.3018
KEN,2017,0.2678
KEN,2021,0.2145
KEN,2024,0.2015
KGZ,2011,0.0089
KGZ,2014,0.0486
KGZ,2017,0.0299
KGZ,2021,0.0629
KGZ,2024,0.1692
KHM,2011,0.0081
KHM,2014,0.0358
KHM,2017,0.0534
KHM,2021,0.0667
KHM,2024,0.0930
KOR,2011,0.4694
KOR,2014,0.5271
KOR,2017,0.5531
KOR,2021,0.5947
KWT,2011,0.4035
KWT,2014,0.2550
KWT,2017,0.2661
LAO,2011,0.1936
LAO,2017,0.1802
LAO,2021,0.1705
LAO,2024,0.1488
LBN,2011,0.1711
LBN,2014,0.1747
LBN,2017,0.2115
LBN,2021,0.0259
LBN,2024,0.0316
LBR,2011,0.1393
LBR,2017,0.1088
LBR,2021,0.1268
LBR,2024,0.0627
LBY,2017,0.1710
LBY,2024,0.1588
LKA,2011,0.2809
LKA,2014,0.3086
LKA,2017,0.2879
LKA,2021,0.3391
LKA,2024,0.2322
LSO,2011,0.0790
LSO,2017,0.0880
LSO,2022,0.1648
LSO,2024,0.1291
LTU,2011,0.2049
LTU,2014,0.2826
LTU,2017,0.3395
LTU,2021,0.4688
LUX,2011,0.5201
LUX,2014,0.5986
LUX,2017,0.6158
LVA,2011,0.1332
LVA,2014,0.2531
LVA,2017,0.2751
LVA,2021,0.4287
MAR,2021,0.0735
MAR,2024,0.0562
MDA,2011,0.0354
MDA,2014,0.0683
MDA,2017,0.0875
MDA,2021,0.0804
MDA,2024,0.0707
MDG,2011,0.0138
MDG,2014,0.0326
MDG,2017,0.0396
MDG,2022,0.0352
MDG,2024,0.0478
MDV,2017,0.3201
MEX,2011,0.0673
MEX,2014,0.1448
MEX,2017,0.0930
MEX,2022,0.1172
MEX,2024,0.1716
MKD,2011,0.0778
MKD,2014,0.1374
MKD,2017,0.1727
MKD,2021,0.1485
MKD,2024,0.3236
MLI,2011,0.0448
MLI,2014,0.0289
MLI,2017,0.0607
MLI,2021,0.1120
MLI,2024,0.0870
MLT,2011,0.4481
MLT,2014,0.4155
MLT,2017,0.4659
MLT,2021,0.4562
MMR,2014,0.1279
MMR,2017,0.0807
MMR,2021,0.0904
MNE,2011,0.0336
MNE,2014,0.0529
MNE,2017,0.1010
MNE,2024,0.2348
MNG,2011,0.2318
MNG,2014,0.3321
MNG,2017,0.1934
MNG,2021,0.2804
MNG,2024,0.3319
MOZ,2017,0.1080
MOZ,2021,0.1088
MOZ,2024,0.0827
MRT,2011,0.0641
MRT,2014,0.1057
MRT,2017,0.0913
MRT,2022,0.0948
MRT,2024,0.1611
MUS,2011,0.3083
MUS,2014,0.3553
MUS,2017,0.2436
MUS,2021,0.2888
MUS,2024,0.3043
MWI,2011,0.0824
MWI,2014,0.0705
MWI,2017,0.0870
MWI,2021,0.0674
MWI,2024,0.0543
MYS,2011,0.3541
MYS,2014,0.3377
MYS,2017,0.3777
MYS,2021,0.4690
MYS,2024,0.4771
NAM,2014,0.2669
NAM,2017,0.3444
NAM,2021,0.3372
NAM,2024,0.3637
NER,2011,0.0116
NER,2014,0.0198
NER,2017,0.0190
NER,2022,0.0251
NER,2024,0.0345
NGA,2011,0.2359
NGA,2014,0.2707
NGA,2017,0.2055
NGA,2021,0.1773
NGA,2024,0.3770
NIC,2011,0.0653
NIC,2014,0.0806
NIC,2017,0.0806
NIC,2021,0.0609
NIC,2024,0.0665
NLD,2011,0.5781
NLD,2014,0.5893
NLD,2017,0.5935
NLD,2021,0.6573
NOR,2014,0.7841
NOR,2017,0.7933
NOR,2021,0.8093
NPL,2011,0.0990
NPL,2014,0.1643
NPL,2017,0.1710
NPL,2021,0.1612
NPL,2024,0.2032
NZL,2011,0.6044
NZL,2014,0.7057
NZL,2017,0.6940
NZL,2021,0.6926
OMN,2011,0.2262
OMN,2024,0.2372
PAK,2011,0.0144
PAK,2014,0.0328
PAK,2017,0.0610
PAK,2021,0.0237
PAK,2024,0.0696
PAN,2011,0.1246
PAN,2014,0.2036
PAN,2017,0.1445
PAN,2021,0.1510
PAN,2024,0.2746
PER,2011,0.0856
PER,2014,0.1226
PER,2017,0.0821
PER,2021,0.1461
PER,2024,0.2157
PHL,2011,0.1471
PHL,2014,0.1479
PHL,2017,0.1193
PHL,2021,0.1916
PHL,2024,0.1032
POL,2011,0.1799
POL,2014,0.2081
POL,2017,0.3256
POL,2021,0.3643
POL,2024,0.4582
PRI,2014,0.2350
PRT,2011,0.2556
PRT,2014,0.2490
PRT,2017,0.3163
PRT,2021,0.4269
PRY,2011,0.0972
PRY,2017,0.0629
PRY,2021,0.0434
PRY,2024,0.1397
PSE,2011,0.0548
PSE,2014,0.0510
PSE,2017,0.0601
PSE,2021,0.0679
PSE,2024,0.0875
QAT,2011,0.2538
ROU,2011,0.0869
ROU,2014,0.1327
ROU,2017,0.1358
ROU,2021,0.1870
ROU,2024,0.2594
RUS,2011,0.1088
RUS,2014,0.1546
RUS,2017,0.1352
RUS,2021,0.1793
RWA,2011,0.1784
RWA,2014,0.2553
RWA,2017,0.1892
SAU,2011,0.1724
SAU,2014,0.1554
SAU,2017,0.1433
SAU,2021,0.3552
SAU,2024,0.3738
SDN,2011,0.0341
SDN,2014,0.0747
SEN,2011,0.0372
SEN,2014,0.0657
SEN,2017,0.0729
SEN,2021,0.0879
SEN,2024,0.2414
SGP,2011,0.5841
SGP,2014,0.4621
SGP,2017,0.6690
SGP,2021,0.5999
SLE,2011,0.1449
SLE,2014,0.1094
SLE,2017,0.0518
SLE,2021,0.0488
SLE,2024,0.0620
SLV,2011,0.1291
SLV,2014,0.1401
SLV,2017,0.1091
SLV,2021,0.0777
SLV,2024,0.1233
SOM,2014,0.0282
SRB,2011,0.0317
SRB,2014,0.0872
SRB,2017,0.1198
SRB,2021,0.1893
SRB,2024,0.2639
SSD,2017,0.0372
SSD,2021,0.0149
SVK,2011,0.3684
SVK,2014,0.4396
SVK,2017,0.4987
SVK,2021,0.5885
SVN,2011,0.2885
SVN,2014,0.3251
SVN,2017,0.3122
SVN,2021,0.3985
SWE,2011,0.6358
SWE,2014,0.7514
SWE,2017,0.7543
SWE,2021,0.7974
SWZ,2011,0.1776
SWZ,2022,0.1396
SWZ,2024,0.1450
SYR,2011,0.0506
TCD,2011,0.0684
TCD,2014,0.0463
TCD,2017,0.0253
TCD,2022,0.0762
TCD,2024,0.0944
TGO,2011,0.0363
TGO,2014,0.0667
TGO,2017,0.1178
TGO,2021,0.1165
TGO,2024,0.1987
THA,2011,0.4280
THA,2014,0.4060
THA,2017,0.3880
THA,2021,0.5228
THA,2024,0.4934
TJK,2011,0.0029
TJK,2014,0.0154
TJK,2017,0.1129
TJK,2021,0.0107
TJK,2024,0.0677
TKM,2011,0.0012
TKM,2017,0.0484
TTO,2011,0.4441
TTO,2017,0.3620
TUN,2014,0.1031
TUN,2017,0.1834
TUN,2021,0.1378
TUN,2024,0.2161
TUR,2011,0.0417
TUR,2014,0.0911
TUR,2017,0.2288
TUR,2021,0.0955
TUR,2024,0.2745
TZA,2011,0.1191
TZA,2014,0.0900
TZA,2017,0.0611
TZA,2021,0.0627
TZA,2024,0.0757
UGA,2011,0.1633
UGA,2014,0.1678
UGA,2017,0.1270
UGA,2021,0.1589
UGA,2024,0.1344
UKR,2011,0.0541
UKR,2014,0.0784
UKR,2017,0.1292
UKR,2021,0.1054
UKR,2024,0.2073
URY,2011,0.0569
URY,2014,0.1246
URY,2017,0.1181
URY,2021,0.1509
USA,2011,0.5040
USA,2014,0.5411
USA,2017,0.6220
USA,2021,0.6494
UZB,2011,0.0082
UZB,2014,0.0184
UZB,2017,0.0230
UZB,2021,0.0264
UZB,2024,0.0919
VEN,2011,0.1357
VEN,2014,0.2279
VEN,2017,0.1940
VEN,2021,0.0835
VEN,2024,0.1998
VNM,2011,0.0774
VNM,2014,0.1461
VNM,2017,0.1448
VNM,2022,0.1986
VNM,2024,0.4309
XKX,2011,0.0495
XKX,2014,0.0721
XKX,2017,0.0870
XKX,2021,0.1033
XKX,2024,0.1580
YEM,2011,0.0107
YEM,2014,0.0086
YEM,2022,0.0306
ZAF,2011,0.2208
ZAF,2014,0.3273
ZAF,2017,0.2209
ZAF,2021,0.3721
ZAF,2024,0.3196
ZMB,2011,0.1177
ZMB,2014,0.1684
ZMB,2017,0.1357
ZMB,2021,0.0815
ZMB,2024,0.0954
ZWE,2011,0.1727
ZWE,2014,0.0519
ZWE,2017,0.0531
ZWE,2021,0.0409
ZWE,2024,0.0331
