iso3,year,share
LBR,2024,0.0886
LBY,2017,0.0838
LBY,2024,0.1217
LKA,2014,0.1973
LKA,2017,0.1737
LKA,2021,0.2128
LKA,2024,0.1810
LSO,2017,0.0557
LSO,2022,0.1255
LSO,2024,0.0697
LTU,2014,0.1484
LTU,2017,0.2067
LTU,2021,0.1195
LUX,2014,0.6841
LUX,2017,0.7215
LVA,2014,0.2884
LVA,2017,0.1899
LVA,2021,0.2273
MAR,2021,0.0498
MAR,2024,0.0137
MDA,2014,0.1013
MDA,2017,0.2031
MDA,2021,0.1318
MDA,2024,0.0980
MDG,2014,0.0200
MDG,2017,0.0381
MDG,2022,0.0584
MDG,2024,0.0277
MDV,2017,0.1971
MEX,2014,0.1829
MEX,2017,0.1167
MEX,2022,0.1561
MEX,2024,0.1484
MKD,2014,0.2505
MKD,2017,0.2049
MKD,2021,0.2210
MKD,2024,0.2576
MLI,2014,0.0311
MLI,2017,0.0804
MLI,2021,0.1098
MLI,2024,0.0893
MLT,2014,0.3692
MLT,2017,0.4323
MLT,2021,0.3894
MMR,2014,0.1552
MMR,2017,0.1909
MMR,2021,0.0706
MNE,2014,0.2952
MNE,2017,0.2375
MNE,2024,0.1590
MNG,2014,0.3621
MNG,2017,0.3037
MNG,2021,0.3439
MNG,2024,0.4032
MOZ,2017,0.1103
MOZ,2021,0.1027
MOZ,2024,0.0628
MRT,2014,0.0912
MRT,2017,0.0925
MRT,2022,0.1083
MRT,2024,0.1333
MUS,2014,0.2515
MUS,2017,0.2288
MUS,2021,0.2009
MUS,2024,0.1888
MWI,2014,0.0695
MWI,2017,0.0860
MWI,2021,0.0799
MWI,2024,0.0674
MYS,2014,0.3075
MYS,2017,0.2336
MYS,2021,0.1348
MYS,2024,0.1452
NAM,2014,0.1184
NAM,2017,0.1694
NAM,2021,0.2096
NAM,2024,0.1456
NER,2014,0.0224
NER,2017,0.0380
NER,2022,0.0306
NER,2024,0.0252
NGA,2014,0.0698
NGA,2017,0.0530
NGA,2021,0.0640
NGA,2024,0.0611
NIC,2014,0.1551
NIC,2017,0.1343
NIC,2021,0.1218
NIC,2024,0.0665
NLD,2014,0.3478
NLD,2017,0.3737
NLD,2021,0.3444
NOR,2014,0.6254
NOR,2017,0.6946
NOR,2021,0.6682
NPL,2014,0.1199
NPL,2017,0.1364
NPL,2021,0.1410
NPL,2024,0.1609
NZL,2014,0.6887
NZL,2017,0.6648
NZL,2021,0.6038
OMN,2024,0.0883
PAK,2014,0.0157
PAK,2017,0.0264
