iso3,year,tenure,share
BGR,2010,rent_subsidised,0.015090
BGR,2011,other,0.100303
BGR,2011,own_mortgage,0.012582
BGR,2011,own_outright,0.848140
BGR,2011,rent_private,0.020046
BGR,2011,rent_subsidised,0.018929
BGR,2012,other,0.103725
BGR,2012,own_mortgage,0.015459
BGR,2012,own_outright,0.846672
BGR,2012,rent_private,0.017001
BGR,2012,rent_subsidised,0.017143
BGR,2013,other,0.116950
BGR,2013,own_mortgage,0.019532
BGR,2013,own_outright,0.828798
BGR,2013,rent_private,0.019563
BGR,2013,rent_subsidised,0.015157
BGR,2014,other,0.120112
BGR,2014,own_mortgage,0.020519
BGR,2014,own_outright,0.815098
BGR,2014,rent_private,0.027889
BGR,2014,rent_subsidised,0.016383
BGR,2015,other,0.134489
BGR,2015,own_mortgage,0.021146
BGR,2015,own_outright,0.800137
BGR,2015,rent_private,0.032476
BGR,2015,rent_subsidised,0.011751
BGR,2016,other,0.136583
BGR,2016,own_mortgage,0.020053
BGR,2016,own_outright,0.801017
BGR,2016,rent_private,0.028286
BGR,2016,rent_subsidised,0.014061
BGR,2017,other,0.132400
BGR,2017,own_mortgage,0.021862
BGR,2017,own_outright,0.802872
BGR,2017,rent_private,0.030653
BGR,2017,rent_subsidised,0.012213
BGR,2018,other,0.124468
BGR,2018,own_mortgage,0.018876
BGR,2018,own_outright,0.812458
BGR,2018,rent_private,0.028891
BGR,2018,rent_subsidised,0.015308
BGR,2019,other,0.120692
BGR,2019,own_mortgage,0.015232
BGR,2019,own_outright,0.822861
BGR,2019,rent_private,0.028041
BGR,2019,rent_subsidised,0.013173
BGR,2020,other,0.115448
BGR,2020,own_mortgage,0.016239
BGR,2020,own_outright,0.827445
BGR,2020,rent_private,0.025511
BGR,2020,rent_subsidised,0.015357
BGR,2021,other,0.110047
BGR,2021,own_mortgage,0.018543
BGR,2021,own_outright,0.833162
BGR,2021,rent_private,0.023375
BGR,2021,rent_subsidised,0.014874
BGR,2022,other,0.108288
BGR,2022,own_mortgage,0.017938
BGR,2022,own_outright,0.835103
BGR,2022,rent_private,0.023975
BGR,2022,rent_subsidised,0.014697
BGR,2023,other,0.103392
BGR,2023,own_mortgage,0.012535
BGR,2023,own_outright,0.846897
BGR,2023,rent_private,0.022493
BGR,2023,rent_subsidised,0.014684
BGR,2024,other,0.107143
BGR,2024,own_mortgage,0.012038
BGR,2024,own_outright,0.840419
BGR,2024,rent_private,0.025521
BGR,2024,rent_subsidised,0.014880
CAN,2010,other,0.000080
CAN,2010,own_mortgage,0.398174
CAN,2010,own_outright,0.296476
CAN,2010,rent_private,0.305269
CAN,2011,other,0.000035
CAN,2011,own_mortgage,0.405079
CAN,2011,own_outright,0.287573
CAN,2011,rent_private,0.307313
CAN,2012,other,0.009331
CAN,2012,own_mortgage,0.386358
CAN,2012,own_outright,0.309741
CAN,2012,rent_private,0.294570
CAN,2013,other,0.011469
CAN,2013,own_mortgage,0.384150
CAN,2013,own_outright,0.306921
CAN,2013,rent_private,0.297459
CAN,2014,other,0.006841
CAN,2014,own_mortgage,0.388915
CAN,2014,own_outright,0.308907
CAN,2014,rent_private,0.295337
CAN,2015,other,0.011245
CAN,2015,own_mortgage,0.391832
CAN,2015,own_outright,0.298643
CAN,2015,rent_private,0.298281
CAN,2016,other,0.009610
CAN,2016,own_mortgage,0.386355
CAN,2016,own_outright,0.295009
CAN,2016,rent_private,0.309027
CAN,2017,other,0.008842
CAN,2017,own_mortgage,0.390869
CAN,2017,own_outright,0.296729
CAN,2017,rent_private,0.303560
CAN,2018,own_mortgage,0.392852
CAN,2018,own_outright,0.298743
