iso3,year,measure,sex,value
ISR,2014,public_income,_Z,29.6
ISR,2016,occupational_income,_Z,29.4
ISR,2016,public_income,_Z,29.6
ISR,2018,occupational_income,_Z,28.5
ISR,2018,public_income,_Z,27.6
ISR,2020,occupational_income,_Z,27.6
ISR,2020,public_income,_Z,35.3
ISR,2022,occupational_income,_Z,28.4
ISR,2022,public_income,_Z,29.8
ISR,2024,pension_age,F,62
ISR,2024,pension_age,M,67
ISR,2024,replacement_rate,F,36.5
ISR,2024,replacement_rate,M,42.8
ITA,2014,occupational_income,_Z,0
ITA,2014,public_income,_Z,75.3
ITA,2016,occupational_income,_Z,0
ITA,2016,public_income,_Z,75.1
ITA,2018,occupational_income,_Z,0
ITA,2018,public_income,_Z,75
ITA,2020,occupational_income,_Z,0
ITA,2020,public_income,_Z,75.6
ITA,2022,occupational_income,_Z,0
ITA,2022,public_income,_Z,74
ITA,2024,pension_age,F,63.8
ITA,2024,pension_age,M,64.8
ITA,2024,replacement_rate,F,70.6
ITA,2024,replacement_rate,M,70.6
JPN,2014,occupational_income,_Z,0
JPN,2014,public_income,_Z,51.3
JPN,2016,occupational_income,_Z,0
JPN,2016,public_income,_Z,49.2
JPN,2018,occupational_income,_Z,2.1
JPN,2018,public_income,_Z,50.1
JPN,2020,occupational_income,_Z,2.1
JPN,2020,public_income,_Z,50.1
JPN,2022,occupational_income,_Z,2
JPN,2022,public_income,_Z,50
JPN,2024,pension_age,F,65
JPN,2024,pension_age,M,65
JPN,2024,replacement_rate,F,36.5
JPN,2024,replacement_rate,M,36.5
KOR,2014,occupational_income,_Z,0
KOR,2014,public_income,_Z,30.2
KOR,2016,occupational_income,_Z,0
KOR,2016,public_income,_Z,25
KOR,2018,occupational_income,_Z,0
KOR,2018,public_income,_Z,25.9
KOR,2020,occupational_income,_Z,0
KOR,2020,public_income,_Z,30
KOR,2022,occupational_income,_Z,0
KOR,2022,public_income,_Z,29.1
KOR,2024,pension_age,F,63
KOR,2024,pension_age,M,63
KOR,2024,replacement_rate,F,33.4
KOR,2024,replacement_rate,M,33.4
LTU,2016,occupational_income,_Z,0
LTU,2016,public_income,_Z,62
LTU,2018,occupational_income,_Z,0
LTU,2018,public_income,_Z,62.4
LTU,2020,occupational_income,_Z,0
LTU,2020,public_income,_Z,60.9
LTU,2022,occupational_income,_Z,0
LTU,2022,public_income,_Z,65
LTU,2024,pension_age,F,64.3
