iso3,year,activity,item,value,unit_mult
AUS,2019,S,B1G,31900,6
AUS,2019,_T,B1G,1863155,6
AUS,2020,A,B1G,48206,6
AUS,2020,B,B1G,222489,6
AUS,2020,C,B1G,113547,6
AUS,2020,D,B1G,50283,6
AUS,2020,F,B1G,145549,6
AUS,2020,G,B1G,172071,6
AUS,2020,G46,B1G,81435,6
AUS,2020,G47,B1G,90636,6
AUS,2020,H,B1G,85907,6
AUS,2020,I,B1G,42579,6
AUS,2020,J,B1G,46354,6
AUS,2020,K,B1G,153970,6
AUS,2020,L,B1G,243468,6
AUS,2020,L68A,B1G,185775,6
AUS,2020,M,B1G,147581,6
AUS,2020,N,B1G,66385,6
AUS,2020,O,B1G,111828,6
AUS,2020,P,B1G,100399,6
AUS,2020,Q,B1G,157579,6
AUS,2020,R,B1G,14095,6
AUS,2020,S,B1G,32134,6
AUS,2020,_T,B1G,1954424,6
AUS,2021,A,B1G,62452,6
AUS,2021,B,B1G,313986,6
AUS,2021,C,B1G,123593,6
AUS,2021,D,B1G,48840,6
AUS,2021,F,B1G,153938,6
AUS,2021,G,B1G,178921,6
AUS,2021,G46,B1G,84629,6
AUS,2021,G47,B1G,94292,6
AUS,2021,H,B1G,94985,6
AUS,2021,I,B1G,47049,6
AUS,2021,J,B1G,50266,6
AUS,2021,K,B1G,161916,6
AUS,2021,L,B1G,256885,6
AUS,2021,L68A,B1G,193309,6
AUS,2021,M,B1G,165302,6
AUS,2021,N,B1G,75692,6
AUS,2021,O,B1G,118408,6
AUS,2021,P,B1G,104907,6
AUS,2021,Q,B1G,176276,6
AUS,2021,R,B1G,15925,6
AUS,2021,S,B1G,34194,6
AUS,2021,_T,B1G,2183535,6
AUS,2022,A,B1G,66273,6
AUS,2022,B,B1G,349236,6
AUS,2022,C,B1G,135792,6
AUS,2022,D,B1G,52261,6
AUS,2022,F,B1G,171822,6
AUS,2022,G,B1G,206694,6
AUS,2022,G46,B1G,99567,6
AUS,2022,G47,B1G,107127,6
AUS,2022,H,B1G,110380,6
AUS,2022,I,B1G,62056,6
AUS,2022,J,B1G,52483,6
AUS,2022,K,B1G,177083,6
AUS,2022,L,B1G,272758,6
AUS,2022,L68A,B1G,207696,6
AUS,2022,M,B1G,183358,6
AUS,2022,N,B1G,85175,6
AUS,2022,O,B1G,126188,6
AUS,2022,P,B1G,114083,6
AUS,2022,Q,B1G,191950,6
AUS,2022,R,B1G,18688,6
AUS,2022,S,B1G,39027,6
AUS,2022,_T,B1G,2415307,6
AUT,2018,A,B1G,4250.506,6
AUT,2018,A01,B1G,3154.333,6
AUT,2018,A02,B1G,1067.092,6
AUT,2018,A03,B1G,29.082,6
AUT,2018,B,B1G,1169.893,6
AUT,2018,C,B1G,66380.461,6
AUT,2018,C10T12,B1G,6477.698,6
AUT,2018,C13T15,B1G,992.414,6
AUT,2018,C16,B1G,2758.522,6
AUT,2018,C16T18,B1G,5796.902,6
AUT,2018,C17,B1G,2186.828,6
AUT,2018,C18,B1G,851.551,6
AUT,2018,C19,B1G,738.758,6
AUT,2018,C20,B1G,3162.092,6
AUT,2018,C21,B1G,2379.642,6
AUT,2018,C22,B1G,2595.835,6
AUT,2018,C22_23,B1G,5257.169,6
AUT,2018,C23,B1G,2661.334,6
AUT,2018,C24,B1G,4739.407,6
AUT,2018,C24_25,B1G,11359.093,6
AUT,2018,C25,B1G,6619.687,6
AUT,2018,C26,B1G,4013.081,6
AUT,2018,C27,B1G,5918.811,6
AUT,2018,C28,B1G,9278.292,6
AUT,2018,C29,B1G,4643.674,6
AUT,2018,C29_30,B1G,6027.015,6
AUT,2018,C30,B1G,1383.341,6
AUT,2018,C31T33,B1G,4979.492,6
AUT,2018,C31_32,B1G,2845.959,6
AUT,2018,C33,B1G,2133.533,6
AUT,2018,D,B1G,5423.062,6
AUT,2018,E,B1G,3507.009,6
AUT,2018,E36,B1G,566.694,6
AUT,2018,E37T39,B1G,2940.315,6
AUT,2018,F,B1G,22083.964,6
AUT,2018,G,B1G,41357.33,6
AUT,2018,G45,B1G,4655.438,6
AUT,2018,G46,B1G,21415.622,6
AUT,2018,G47,B1G,15286.27,6
AUT,2018,H,B1G,19043.83,6
AUT,2018,H49,B1G,9123.258,6
AUT,2018,H50,B1G,37.25,6
AUT,2018,H51,B1G,931.225,6
AUT,2018,H52,B1G,7510.461,6
AUT,2018,H53,B1G,1441.634,6
AUT,2018,I,B1G,14126.176,6
AUT,2018,J,B1G,12896.492,6
AUT,2018,J58,B1G,1205.051,6
AUT,2018,J58T60,B1G,2455.289,6
AUT,2018,J59_60,B1G,1250.238,6
AUT,2018,J61,B1G,3120.481,6
AUT,2018,J62_63,B1G,7320.722,6
AUT,2018,K,B1G,14217.394,6
AUT,2018,K64,B1G,9214.677,6
AUT,2018,K65,B1G,3609.895,6
AUT,2018,K66,B1G,1392.822,6
AUT,2018,L,B1G,33180.166,6
AUT,2018,L68A,B1G,17169.615,6
AUT,2018,M,B1G,18323.287,6
AUT,2018,M69T71,B1G,14120.71,6
AUT,2018,M69_70,B1G,9269.563,6
AUT,2018,M71,B1G,4851.147,6
AUT,2018,M72,B1G,1556.78,6
AUT,2018,M73,B1G,1678.732,6
AUT,2018,M73T75,B1G,2645.797,6
AUT,2018,M74_75,B1G,967.065,6
AUT,2018,N,B1G,15386.254,6
AUT,2018,N77,B1G,4380.117,6
AUT,2018,N78,B1G,4401.631,6
AUT,2018,N79,B1G,589.7,6
AUT,2018,N80T82,B1G,6014.805,6
AUT,2018,O,B1G,17377.532,6
AUT,2018,P,B1G,18054.154,6
AUT,2018,Q,B1G,25711.839,6
AUT,2018,Q86,B1G,19075.762,6
AUT,2018,Q87_88,B1G,6636.078,6
AUT,2018,R,B1G,3641.269,6
AUT,2018,R90T92,B1G,2414.905,6
AUT,2018,R93,B1G,1226.364,6
AUT,2018,S,B1G,5081.328,6
AUT,2018,S94,B1G,2668.079,6
AUT,2018,S95,B1G,182.843,6
AUT,2018,S96,B1G,2230.406,6
AUT,2018,T,B1G,139.609,6
AUT,2018,_T,B1G,341351.555,6
AUT,2019,A,B1G,4133.688,6
AUT,2019,A01,B1G,3085.441,6
AUT,2019,A02,B1G,1016.174,6
AUT,2019,A03,B1G,32.072,6
AUT,2019,B,B1G,1059.287,6
AUT,2019,C,B1G,67674.903,6
AUT,2019,C10T12,B1G,6888.744,6
AUT,2019,C13T15,B1G,981.397,6
AUT,2019,C16,B1G,2940.039,6
AUT,2019,C16T18,B1G,5986.794,6
AUT,2019,C17,B1G,2228.646,6
AUT,2019,C18,B1G,818.109,6
AUT,2019,C19,B1G,908.342,6
AUT,2019,C20,B1G,3098.553,6
AUT,2019,C21,B1G,2684.908,6
AUT,2019,C22,B1G,2694.048,6
AUT,2019,C22_23,B1G,5571.27,6
AUT,2019,C23,B1G,2877.222,6
AUT,2019,C24,B1G,4448.734,6
AUT,2019,C24_25,B1G,11178.83,6
AUT,2019,C25,B1G,6730.096,6
AUT,2019,C26,B1G,4248.384,6
AUT,2019,C27,B1G,5462.005,6
AUT,2019,C28,B1G,9480.092,6
AUT,2019,C29,B1G,4654.794,6
AUT,2019,C29_30,B1G,6107.737,6
AUT,2019,C30,B1G,1452.943,6
AUT,2019,C31T33,B1G,5077.847,6
AUT,2019,C31_32,B1G,2794.816,6
AUT,2019,C33,B1G,2283.03,6
AUT,2019,D,B1G,5758.45,6
AUT,2019,E,B1G,3606.732,6
AUT,2019,E36,B1G,611.81,6
AUT,2019,E37T39,B1G,2994.922,6
AUT,2019,F,B1G,22949.802,6
AUT,2019,G,B1G,41972.241,6
AUT,2019,G45,B1G,4844.094,6
AUT,2019,G46,B1G,21312.174,6
AUT,2019,G47,B1G,15815.974,6
AUT,2019,H,B1G,19666.145,6
AUT,2019,H49,B1G,9304.916,6
AUT,2019,H50,B1G,41.305,6
AUT,2019,H51,B1G,933.373,6
AUT,2019,H52,B1G,7913.938,6
AUT,2019,H53,B1G,1472.615,6
AUT,2019,I,B1G,14528.354,6
AUT,2019,J,B1G,13689.928,6
AUT,2019,J58,B1G,1317.434,6
AUT,2019,J58T60,B1G,2598.273,6
AUT,2019,J59_60,B1G,1280.839,6
AUT,2019,J61,B1G,2979.824,6
AUT,2019,J62_63,B1G,8111.831,6
AUT,2019,K,B1G,14836.755,6
AUT,2019,K64,B1G,9548.017,6
AUT,2019,K65,B1G,3803.753,6
AUT,2019,K66,B1G,1484.985,6
AUT,2019,L,B1G,34265.367,6
AUT,2019,L68A,B1G,17561.03,6
AUT,2019,M,B1G,19714.532,6
AUT,2019,M69T71,B1G,15210.576,6
AUT,2019,M69_70,B1G,9936.808,6
AUT,2019,M71,B1G,5273.768,6
