month,value
2015-04-01,220173
2015-05-01,217933
2015-06-01,216107
2015-07-01,214646
2015-08-01,213259
2015-09-01,211679
2015-10-01,210718
2015-11-01,209529
2015-12-01,206611
2016-01-01,206401
2016-02-01,205922
2016-03-01,205425
2016-04-01,204585
2016-05-01,202994
2016-06-01,201880
2016-07-01,202218
2016-08-01,203983
2016-09-01,203405
2016-10-01,203330
2016-11-01,203144
2016-12-01,202651
2017-01-01,203575
2017-02-01,204341
2017-03-01,204838
2017-04-01,205609
2017-05-01,205903
2017-06-01,205351
2017-07-01,205929
2017-08-01,205843
2017-09-01,207105
2017-10-01,208150
2017-11-01,208494
2017-12-01,208238
2018-01-01,208835
2018-02-01,210403
2018-03-01,211011
2018-04-01,211533
2018-05-01,213554
2018-06-01,215530
2018-07-01,217623
2018-08-01,219022
2018-09-01,220401
2018-10-01,221836
2018-11-01,221493
2018-12-01,220890
2019-01-01,221739
2019-02-01,222158
2019-03-01,223473
2019-04-01,223340
2019-05-01,222938
2019-06-01,222590
2019-07-01,222832
2019-08-01,223501
2019-09-01,224234
2019-10-01,225143
2019-11-01,226050
2019-12-01,225905
2020-01-01,226156
2020-02-01,226349
2020-03-01,227347
2020-04-01,227695
2020-05-01,228134
2020-06-01,228838
2020-07-01,229645
2020-08-01,230452
2020-09-01,232253
2020-10-01,233482
2020-11-01,234701
2020-12-01,236328
2021-01-01,238642
2021-02-01,241692
2021-03-01,244705
2021-04-01,248935
2021-05-01,251082
2021-06-01,254372
2021-07-01,257438
2021-08-01,261058
2021-09-01,263705
2021-10-01,267606
2021-11-01,271108
2021-12-01,273787
2022-01-01,277888
2022-02-01,281324
2022-03-01,285146
2022-04-01,288624
2022-05-01,292357
2022-06-01,296143
2022-07-01,299657
2022-08-01,303794
2022-09-01,306929
2022-10-01,309480
2022-11-01,311086
2022-12-01,312762
2023-01-01,312993
2023-02-01,312421
2023-03-01,311683
2023-04-01,310882
2023-05-01,310613
2023-06-01,309951
2023-07-01,309693
2023-08-01,308473
2023-09-01,307841
2023-10-01,306678
2023-11-01,306090
2023-12-01,305227
2024-01-01,303633
2024-02-01,302898
2024-03-01,302271
2024-04-01,301578
2024-05-01,300528
2024-06-01,299937
2024-07-01,299381
2024-08-01,299113
2024-09-01,299568
2024-10-01,299109
2024-11-01,299073
2024-12-01,299182
2025-01-01,300478
2025-02-01,300901
2025-03-01,301186
2025-04-01,300463
2025-05-01,300850
2025-06-01,300500
2025-07-01,300273
2025-08-01,300771
2025-09-01,301157
2025-10-01,301288
2025-11-01,301894
2025-12-01,302389
2026-01-01,302627
2026-02-01,303093
2026-03-01,305556
2026-04-01,307042
2026-05-01,310000
2026-06-01,312437
2026-07-01,314190
2026-08-01,316821
