industry,asset,year,value
110C,SU50,2024,0.0
110C,SU60,2023,63452.0
110C,SU60,2024,69691.0
113F,AE10,2023,0.0
113F,AE10,2024,0.0
113F,AE20,2023,0.0
113F,AE20,2024,0.0
113F,AE30,2023,0.0
113F,AE30,2024,0.0
113F,AE40,2023,0.0
113F,AE40,2024,0.0
113F,AE50,2023,0.0
113F,AE50,2024,0.0
113F,EI11,2023,0.0
113F,EI11,2024,0.0
113F,EI12,2023,1019.0
113F,EI12,2024,1098.0
113F,EI21,2023,0.0
113F,EI21,2024,0.0
113F,EI22,2023,4.0
113F,EI22,2024,3.0
113F,EI30,2023,282.0
113F,EI30,2024,310.0
113F,EI40,2023,405.0
113F,EI40,2024,417.0
113F,EI50,2023,6010.0
113F,EI50,2024,6245.0
113F,EI60,2023,124.0
113F,EI60,2024,119.0
113F,ENS1,2023,168.0
113F,ENS1,2024,190.0
113F,ENS2,2023,254.0
113F,ENS2,2024,269.0
113F,ENS3,2023,0.0
113F,ENS3,2024,0.0
113F,EO11,2023,0.0
113F,EO11,2024,0.0
113F,EO12,2023,305.0
113F,EO12,2024,286.0
113F,EO21,2023,413.0
113F,EO21,2024,379.0
113F,EO22,2023,372.0
113F,EO22,2024,375.0
113F,EO30,2023,37822.0
113F,EO30,2024,37400.0
113F,EO40,2023,4404.0
113F,EO40,2024,4398.0
113F,EO50,2023,0.0
113F,EO50,2024,0.0
113F,EO60,2023,1120.0
113F,EO60,2024,1161.0
113F,EO71,2023,1.0
113F,EO71,2024,1.0
113F,EO72,2023,11.0
113F,EO72,2024,11.0
113F,EO80,2023,928.0
113F,EO80,2024,896.0
113F,EP12,2023,2.0
113F,EP12,2024,2.0
113F,EP1A,2023,3.0
113F,EP1A,2024,3.0
113F,EP1B,2023,28.0
113F,EP1B,2024,28.0
113F,EP1C,2023,0.0
113F,EP1C,2024,0.0
113F,EP1D,2023,7.0
113F,EP1D,2024,8.0
113F,EP1E,2023,10.0
113F,EP1E,2024,9.0
113F,EP1F,2023,0.0
113F,EP1F,2024,0.0
113F,EP1G,2023,3.0
113F,EP1G,2024,3.0
113F,EP1H,2023,70.0
113F,EP1H,2024,71.0
113F,EP20,2023,155.0
