industry,asset,year,value
110C,SU50,2024,0.0
110C,SU60,2023,1883.0
110C,SU60,2024,2062.0
113F,AE10,2023,0.0
113F,AE10,2024,0.0
113F,AE20,2023,0.0
113F,AE20,2024,0.0
113F,AE30,2023,0.0
113F,AE30,2024,0.0
113F,AE40,2023,0.0
113F,AE40,2024,0.0
113F,AE50,2023,0.0
113F,AE50,2024,0.0
113F,EI11,2023,0.0
113F,EI11,2024,0.0
113F,EI12,2023,97.0
113F,EI12,2024,102.0
113F,EI21,2023,0.0
113F,EI21,2024,0.0
113F,EI22,2023,1.0
113F,EI22,2024,1.0
113F,EI30,2023,35.0
113F,EI30,2024,39.0
113F,EI40,2023,44.0
113F,EI40,2024,45.0
113F,EI50,2023,670.0
113F,EI50,2024,699.0
113F,EI60,2023,6.0
113F,EI60,2024,6.0
113F,ENS1,2023,122.0
113F,ENS1,2024,136.0
113F,ENS2,2023,98.0
113F,ENS2,2024,103.0
113F,ENS3,2023,0.0
113F,ENS3,2024,0.0
113F,EO11,2023,0.0
113F,EO11,2024,0.0
113F,EO12,2023,40.0
113F,EO12,2024,37.0
113F,EO21,2023,68.0
113F,EO21,2024,62.0
113F,EO22,2023,66.0
113F,EO22,2024,67.0
113F,EO30,2023,4771.0
113F,EO30,2024,4714.0
113F,EO40,2023,726.0
113F,EO40,2024,737.0
113F,EO50,2023,0.0
113F,EO50,2024,0.0
113F,EO60,2023,178.0
113F,EO60,2024,186.0
113F,EO71,2023,0.0
113F,EO71,2024,0.0
113F,EO72,2023,2.0
113F,EO72,2024,2.0
113F,EO80,2023,151.0
113F,EO80,2024,146.0
113F,EP12,2023,1.0
113F,EP12,2024,1.0
113F,EP1A,2023,1.0
113F,EP1A,2024,1.0
113F,EP1B,2023,12.0
113F,EP1B,2024,12.0
113F,EP1C,2023,0.0
113F,EP1C,2024,0.0
113F,EP1D,2023,3.0
113F,EP1D,2024,3.0
113F,EP1E,2023,3.0
113F,EP1E,2024,3.0
113F,EP1F,2023,0.0
113F,EP1F,2024,0.0
113F,EP1G,2023,1.0
113F,EP1G,2024,1.0
113F,EP1H,2023,29.0
113F,EP1H,2024,30.0
113F,EP20,2023,18.0
113F,EP20,2024,18.0
113F,EP31,2023,0.0
113F,EP31,2024,0.0
113F,EP34,2023,12.0
113F,EP34,2024,13.0
113F,EP35,2023,0.0
113F,EP35,2024,0.0
113F,EP36,2023,106.0
113F,EP36,2024,97.0
113F,EQ00,2023,7742.0
113F,EQ00,2024,7710.0
113F,ET11,2023,204.0
113F,ET11,2024,208.0
113F,ET12,2023,191.0
113F,ET12,2024,194.0
113F,ET20,2023,18.0
113F,ET20,2024,17.0
113F,ET30,2023,184.0
113F,ET30,2024,169.0
113F,ET40,2023,102.0
113F,ET40,2024,101.0
113F,ET50,2023,0.0
113F,ET50,2024,0.0
113F,IP00,2023,220.0
113F,IP00,2024,238.0
113F,RD11,2023,0.0
113F,RD11,2024,0.0
113F,RD12,2023,0.0
113F,RD12,2024,0.0
113F,RD21,2023,0.0
113F,RD21,2024,0.0
113F,RD22,2023,0.0
113F,RD22,2024,0.0
113F,RD23,2023,0.0
113F,RD23,2024,0.0
113F,RD24,2023,0.0
113F,RD24,2024,0.0
113F,RD25,2023,0.0
113F,RD25,2024,0.0
113F,RD31,2023,0.0
113F,RD31,2024,0.0
113F,RD32,2023,0.0
113F,RD32,2024,0.0
113F,RD40,2023,0.0
113F,RD40,2024,0.0
113F,RD50,2023,0.0
113F,RD50,2024,0.0
113F,RD60,2023,0.0
113F,RD60,2024,0.0
113F,RD70,2023,0.0
113F,RD70,2024,0.0
113F,RD80,2023,0.0
113F,RD80,2024,0.0
113F,RD91,2023,0.0
113F,RD91,2024,0.0
113F,RD92,2023,0.0
113F,RD92,2024,0.0
113F,RDOM,2023,0.0
113F,RDOM,2024,0.0
113F,SB10,2023,0.0
113F,SB10,2024,0.0
113F,SB20,2023,0.0
113F,SB20,2024,0.0
113F,SB31,2023,0.0
113F,SB31,2024,0.0
113F,SB32,2023,0.0
113F,SB32,2024,0.0
113F,SB41,2023,0.0
113F,SB41,2024,0.0
113F,SB42,2023,0.0
113F,SB42,2024,0.0
113F,SB43,2023,0.0
113F,SB43,2024,0.0
113F,SB44,2023,0.0
113F,SB44,2024,0.0
113F,SB45,2023,5.0
113F,SB45,2024,5.0
113F,SB46,2023,21.0
113F,SB46,2024,21.0
113F,SC01,2023,183.0
113F,SC01,2024,189.0
113F,SC02,2023,70.0
113F,SC02,2024,71.0
113F,SC03,2023,1.0
113F,SC03,2024,1.0
113F,SC04,2023,0.0
113F,SC04,2024,0.0
113F,SI00,2023,170.0
113F,SI00,2024,181.0
113F,SM01,2023,0.0
113F,SM01,2024,0.0
113F,SM02,2023,0.0
113F,SM02,2024,0.0
113F,SN00,2023,7.0
113F,SN00,2024,8.0
113F,SO01,2023,44.0
113F,SO01,2024,44.0
113F,SO02,2023,20.0
113F,SO02,2024,19.0
113F,SO03,2023,62.0
113F,SO03,2024,62.0
113F,SO04,2023,87.0
113F,SO04,2024,88.0
113F,SOMO,2023,22.0
113F,SOMO,2024,21.0
113F,SOO1,2023,148.0
113F,SOO1,2024,150.0
113F,SOO2,2023,0.0
113F,SOO2,2024,0.0
113F,ST00,2023,849.0
113F,ST00,2024,869.0
113F,SU11,2023,0.0
113F,SU11,2024,0.0
113F,SU12,2023,0.0
113F,SU12,2024,0.0
113F,SU20,2023,0.0
113F,SU20,2024,0.0
113F,SU30,2023,0.0
113F,SU30,2024,0.0
113F,SU40,2023,0.0
113F,SU40,2024,0.0
113F,SU50,2023,0.0
113F,SU50,2024,0.0
113F,SU60,2023,8.0
113F,SU60,2024,8.0
2110,AE10,2023,0.0
2110,AE10,2024,0.0
2110,AE20,2023,0.0
2110,AE20,2024,0.0
2110,AE30,2023,0.0
2110,AE30,2024,0.0
2110,AE40,2023,0.0
2110,AE40,2024,0.0
2110,AE50,2023,0.0
