iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
ARG,1980,IPUMS,1505,3.86,10.38,37.63,34.12,17.87,10.38,11.59,38.44,7.03,23.74,8.81,0.00,29.76,12.02
ARG,2001,IPUMS,99,3.57,14.88,38.78,31.24,15.09,14.88,12.17,40.69,10.13,19.46,2.67,0.00,32.04,11.02
ARG,2010,DYB,4763,3.26,17.63,42.30,29.05,11.01,17.74,11.71,36.83,13.43,,,20.29,,
ARG,2010,IPUMS,4763,3.26,17.60,42.33,28.95,11.12,17.60,13.34,36.77,11.73,18.07,2.49,0.00,29.58,9.61
ARG,2011,MICS,4985,3.26,17.68,42.30,28.70,11.32,17.68,14.02,38.22,10.78,16.62,1.75,0.94,29.45,10.14
ARG,2020,MICS,7574,2.95,22.75,43.73,25.80,7.72,22.75,15.05,31.26,13.44,16.51,0.98,0.01,29.57,8.94
ARG,2022,DYB,7292,2.86,24.55,42.62,27.60,5.24,24.61,12.60,30.16,14.31,,,18.33,,
ARM,2000,DHS,1848,4.34,8.41,25.33,39.69,26.57,8.41,7.93,34.89,7.04,41.62,0.11,0.00,56.87,35.53
ARM,2001,DYB,1298,4.14,10.18,24.75,41.16,23.91,10.18,,,,,,,,
ARM,2001,IPUMS,1298,3.99,10.96,26.65,41.67,20.73,10.96,7.02,37.35,9.80,34.43,0.45,0.00,51.54,28.34
ARM,2005,DHS,1843,3.76,13.06,32.02,36.23,18.69,13.06,9.53,29.03,10.57,37.57,0.12,0.11,52.78,30.36
ARM,2010,DHS,5046,3.56,15.26,35.40,33.66,15.67,15.26,10.98,27.33,9.96,36.01,0.43,0.02,55.41,29.26
ARM,2011,DYB,4774,3.96,12.17,29.36,37.55,20.92,12.17,,,,,,,,
ARM,2011,IPUMS,4774,4.01,10.96,29.21,38.40,21.42,10.96,7.08,31.45,8.50,41.39,0.62,0.00,60.17,32.50
ARM,2016,DHS,5806,3.54,15.19,36.17,32.30,16.34,15.19,13.42,27.17,7.37,35.75,1.10,0.00,54.30,29.84
AUS,2001,"Census of Population and Housing: Selected Social and Housing Characteristics, Australia, 2001",1221,2.68,22.90,,,,22.90,,,,,,,,
AUS,2006,DYB,1506,2.50,24.36,49.89,22.61,3.13,24.36,25.14,30.72,9.33,,,10.45,,
AUS,2011,DYB,4857,2.50,24.34,49.95,22.44,3.27,24.34,25.09,29.90,9.10,,,11.57,,
AUS,2016,DYB,7141,2.55,22.83,,,,22.83,24.39,29.45,9.93,,,13.39,,
AUT,1971,IPUMS,1632,2.88,25.51,43.84,21.89,8.76,25.51,19.56,,,0.00,4.67,0.00,,
AUT,1981,IPUMS,373,2.71,28.23,43.51,22.09,6.17,28.23,19.20,34.09,6.24,9.43,2.81,0.00,,
AUT,1991,IPUMS,838,2.55,29.59,45.38,21.05,3.97,29.59,19.55,31.48,7.71,8.97,2.69,0.00,,
AUT,2001,DYB,1229,2.38,33.53,44.85,18.97,2.64,33.53,20.57,29.00,8.86,,,8.03,,
AUT,2001,IPUMS,1229,2.38,33.47,44.88,19.04,2.61,33.47,20.68,28.99,7.97,7.61,1.28,0.00,,
AUT,2001,LFS,9493,2.42,31.01,46.48,19.89,2.63,31.01,,,,,,,,
AUT,2011,DYB,5302,2.27,36.29,44.93,16.49,2.29,36.29,21.35,25.30,8.84,,,8.22,,
AUT,2011,IPUMS,5302,2.27,36.40,44.88,16.45,2.27,36.40,,,,,,,,
AUT,2011,LFS,9494,2.27,36.34,44.52,17.06,2.08,36.34,,,,,,,,
AUT,2021,DYB,7120,2.19,38.34,44.56,15.02,2.08,38.34,22.67,23.21,7.90,,,7.87,,
AZE,1999,DYB,922,,7.74,20.88,41.27,30.11,7.74,,,,,,,,
AZE,2000,MICS,1912,4.61,4.66,20.62,47.29,27.43,4.66,,,,,,,,
AZE,2006,DHS,179,4.15,6.50,28.22,45.89,19.39,6.50,7.09,43.72,9.68,32.95,0.03,0.02,48.61,24.47
AZE,2009,DYB,2278,4.55,6.77,20.86,44.69,27.68,6.77,3.52,44.01,8.40,,,37.32,,
AZE,2019,DYB,7191,4.29,9.62,25.43,41.03,23.92,9.62,4.57,35.88,9.87,,,40.06,,
AZE,2023,MICS,7790,3.78,8.57,36.45,38.73,16.26,8.57,12.08,36.07,7.65,35.37,0.27,0.00,50.06,27.30
BDI,2000,MICS,1905,5.25,3.32,23.22,30.54,42.93,3.32,,,,,,,,
BDI,2005,MICS,148,4.96,3.53,26.01,32.12,38.34,3.53,5.42,57.49,12.78,17.06,3.70,0.02,17.52,6.75
BDI,2008,DYB,2307,4.26,6.41,27.71,30.87,35.00,6.41,,,,,,,,
BDI,2010,DHS,4950,4.78,5.77,27.32,31.65,35.26,5.77,4.33,48.18,14.09,20.97,6.63,0.03,18.85,7.90
BDI,2012,DHS,5464,4.73,6.19,27.45,31.29,35.06,6.19,4.27,51.67,13.12,18.76,5.85,0.14,16.40,7.32
BDI,2016,DHS,6056,4.83,6.04,25.17,31.72,37.07,6.04,3.07,47.67,14.76,20.61,7.85,0.00,19.51,8.90
BEL,2001,DYB,3045,2.36,31.79,47.59,18.46,2.16,31.79,,,,,,,,
BEL,2001,LFS,9495,2.40,30.21,48.41,19.23,2.15,30.21,,,,,,,,
BEL,2011,DYB,4810,2.32,34.05,46.50,17.26,2.19,33.96,24.56,26.85,9.18,,,5.45,,
BEL,2011,LFS,9496,2.36,30.87,48.31,18.70,2.12,30.87,,,,,,,,
BEL,2021,DYB,7121,2.29,35.37,45.52,16.87,2.24,35.34,24.74,25.98,9.36,,,4.59,,
BEN,1979,IPUMS,1236,5.40,13.56,24.81,23.16,38.47,13.56,4.35,20.69,8.78,40.99,7.44,4.19,,
BEN,1992,IPUMS,1144,5.90,12.14,21.85,22.63,43.39,12.14,3.39,22.67,8.80,36.46,15.12,1.42,25.46,16.72
BEN,1996,DHS,1780,6.00,8.70,19.64,25.02,46.64,8.70,3.46,27.13,7.00,44.98,8.62,0.11,26.97,18.50
BEN,2001,DHS,1761,5.18,11.86,23.95,26.25,37.94,11.86,3.98,31.50,8.33,38.09,6.13,0.12,23.27,14.08
BEN,2002,IPUMS,1278,5.58,12.18,23.25,24.27,40.30,12.18,3.91,28.40,10.58,35.91,9.03,0.00,25.78,15.05
BEN,2006,DHS,694,5.05,10.50,23.31,30.11,36.09,10.50,3.86,38.16,10.28,34.56,2.58,0.07,19.92,11.71
BEN,2012,DHS,4493,4.96,10.27,23.15,30.22,36.37,10.27,3.60,38.52,11.49,33.89,2.19,0.05,20.80,11.98
BEN,2013,DYB,4705,5.52,10.83,22.38,26.11,40.68,10.83,,,,,,,,
BEN,2013,IPUMS,4705,5.54,10.81,22.43,26.12,40.64,10.81,3.46,33.76,11.92,34.99,5.08,0.00,26.20,14.03
BEN,2014,MICS,5665,5.18,10.15,22.01,29.21,38.63,10.15,3.75,37.99,9.63,34.71,3.75,0.01,22.34,13.42
BEN,2018,DHS,6055,5.19,9.78,23.56,29.10,37.56,9.78,3.51,35.43,10.66,36.34,4.28,0.00,23.89,15.99
BEN,2021,MICS,9222,4.82,10.01,24.67,31.55,33.77,10.01,3.70,37.35,12.89,34.19,1.86,0.00,23.87,13.42
BFA,1985,IPUMS,1498,6.23,5.72,22.95,22.69,48.64,5.72,,,,,,,,
BFA,1993,DHS,1776,6.66,5.03,19.95,21.79,53.23,5.03,7.02,28.75,2.57,51.97,4.66,0.00,24.92,17.01
BFA,1996,IPUMS,924,6.55,4.32,21.35,22.73,51.61,4.32,6.78,28.81,3.39,49.18,1.59,5.93,,
BFA,1999,DHS,1777,6.73,4.39,18.37,22.82,54.41,4.39,5.27,29.60,2.58,52.60,5.30,0.26,24.33,17.75
BFA,2003,DHS,1787,6.49,6.15,19.93,22.86,51.07,6.15,5.13,32.35,4.11,45.69,6.48,0.10,24.86,15.62
BFA,2006,IPUMS,1338,5.93,5.53,23.91,24.90,45.66,5.53,6.31,30.65,4.90,42.64,5.60,4.37,,
BFA,2006,MICS,136,6.71,4.99,15.87,24.54,54.61,4.99,2.83,33.85,3.58,48.70,6.04,0.01,30.20,18.32
BFA,2010,DHS,4494,5.67,6.33,21.98,27.62,44.07,6.33,5.30,39.00,5.67,39.40,4.28,0.04,20.92,13.56
BFA,2014,DHS,5777,5.92,6.64,19.51,27.40,46.46,6.64,4.64,36.28,4.27,43.37,4.77,0.03,24.81,17.32
BGD,1991,IPUMS,923,5.45,2.97,20.33,33.35,43.36,2.97,3.90,45.26,7.79,,,0.00,,
BGD,1994,DHS,1814,5.46,1.55,20.23,36.03,42.19,1.55,4.14,46.94,5.07,36.83,5.37,0.10,40.61,24.25
BGD,1997,DHS,1815,5.30,1.88,21.08,37.97,39.06,1.88,3.77,47.58,5.24,36.75,4.75,0.03,39.85,24.31
BGD,2000,DHS,1816,5.17,1.53,20.40,40.97,37.10,1.53,4.10,49.76,4.42,35.40,4.76,0.03,40.39,23.91
BGD,2001,IPUMS,1133,4.85,3.07,25.44,39.27,32.22,3.07,5.29,48.71,7.00,,,0.00,,
BGD,2004,DHS,1813,4.96,1.70,22.60,42.40,33.29,1.70,4.48,50.55,5.31,35.35,2.58,0.02,39.43,23.78
BGD,2006,MICS,2286,4.83,1.94,23.12,45.13,29.82,1.94,5.03,52.89,4.17,33.58,2.12,0.27,39.07,22.60
BGD,2007,DHS,1840,4.71,2.26,25.75,43.74,28.25,2.26,5.50,47.69,6.44,35.47,2.65,0.00,38.57,24.21
BGD,2011,DHS,5048,4.60,1.74,27.17,45.56,25.53,1.74,6.15,48.50,5.29,36.81,1.52,0.00,39.90,25.73
BGD,2011,DYB,4776,,3.23,30.02,43.05,23.70,3.23,,,,,,,,
BGD,2011,IPUMS,4776,4.44,3.37,30.04,42.84,23.76,3.37,6.61,47.67,7.90,30.32,3.41,0.73,,
BGD,2013,MICS,5595,4.57,1.90,26.78,46.65,24.67,1.90,6.22,52.94,4.40,33.69,0.69,0.17,40.60,23.82
BGD,2014,DHS,5787,4.47,1.74,29.71,45.59,22.96,1.74,7.08,46.93,5.97,37.05,1.23,0.00,39.55,25.88
BGD,2018,DHS,7475,4.28,2.30,32.29,45.70,19.71,2.30,7.79,43.74,7.68,37.60,0.89,0.00,40.25,27.28
BGD,2019,MICS,7575,4.26,2.85,31.27,46.96,18.93,2.85,7.67,50.27,5.95,32.88,0.38,0.00,41.70,23.71
BGD,2022,DHS,9449,4.14,2.65,34.74,45.80,16.81,2.65,8.50,43.31,7.19,37.79,0.54,0.02,42.32,27.59
BGD,2022,DYB,7193,3.98,4.76,37.07,42.52,15.65,4.76,,,,,,,,
BGR,2001,DYB,68,2.69,22.69,50.00,23.77,3.54,22.69,21.02,31.09,6.52,,,18.68,,
BGR,2001,LFS,9497,2.81,19.52,50.60,25.21,4.67,19.52,,,,,,,,
BGR,2011,DYB,4812,,30.79,48.59,17.80,2.83,30.79,19.94,25.04,6.98,,,17.25,,
BGR,2011,LFS,9498,2.34,30.53,50.97,16.62,1.89,30.53,,,,,,,,
BGR,2021,DYB,7305,2.19,35.81,47.16,15.02,2.01,35.81,21.20,19.10,10.75,,,13.14,,
BHS,2010,DYB,4734,3.40,17.73,40.33,29.15,12.79,17.73,8.31,23.68,12.87,,,37.41,,
BIH,1971,DYB,850,,9.70,26.28,36.46,27.56,9.70,,,,,,,,
BIH,1981,DYB,1495,,9.45,31.51,40.29,18.75,9.45,,,,,,,,
BIH,1991,DYB,1550,,10.79,35.70,41.77,11.75,10.79,,,,,,,,
BIH,2000,MICS,2894,3.37,11.14,41.54,39.10,8.22,11.14,,,,,,,,
BIH,2006,MICS,2296,3.14,17.06,42.36,32.39,8.18,17.06,18.11,37.61,6.95,19.91,0.35,0.00,40.05,14.34
BIH,2012,MICS,4990,3.50,11.50,37.07,41.57,9.86,11.50,11.78,47.00,6.27,22.99,0.35,0.12,48.16,18.34
BLR,1999,DYB,1668,2.57,26.16,48.43,23.38,2.04,26.16,16.76,33.34,10.55,,,13.19,,
BLR,1999,IPUMS,1668,2.63,23.34,50.06,24.39,2.21,23.34,17.96,34.22,10.75,12.43,1.31,0.00,24.54,7.63
BLR,2005,MICS,666,2.67,18.31,56.77,23.22,1.70,18.31,19.77,38.28,11.05,12.39,0.22,0.00,24.72,7.99
BLR,2009,DYB,2308,2.43,29.65,49.99,18.26,2.09,29.65,16.54,26.70,12.28,,,14.82,,
BLR,2009,IPUMS,2308,2.48,27.00,51.73,19.09,2.19,27.00,17.56,27.10,11.42,15.81,1.12,0.00,30.60,9.42
BLR,2012,MICS,4987,2.46,23.65,56.45,18.29,1.61,23.65,24.74,30.33,9.35,11.37,0.56,0.00,23.57,6.71
BLR,2019,DYB,7303,2.16,37.96,47.02,13.54,1.47,37.96,,,14.08,,,,,
BLR,2019,MICS,7576,2.34,29.78,51.99,16.08,2.15,29.78,25.40,25.49,8.36,9.92,1.06,0.00,21.19,5.81
BLZ,2006,MICS,2299,4.16,13.75,30.62,30.40,25.23,13.75,9.73,42.54,9.59,22.32,1.54,0.53,26.49,12.44
BLZ,2011,MICS,4988,3.91,15.06,32.70,31.16,21.07,15.06,10.26,42.18,9.67,20.01,2.78,0.04,26.04,11.68
BLZ,2015,MICS,5761,3.75,17.19,34.06,29.43,19.32,17.19,9.51,36.18,12.64,21.96,2.52,0.00,27.71,12.77
