iso3,year,what,group,share
AFG,2010,wealth,p50p90,0.3711
AFG,2010,wealth,p90p100,0.5810000000000001
AFG,2010,wealth,p99.9p100,0.0941
AFG,2010,wealth,p99p100,0.2356
AFG,2011,income,p0p50,0.186
AFG,2011,income,p50p90,0.4198
AFG,2011,income,p90p100,0.3942
AFG,2011,income,p99.9p100,0.0478
AFG,2011,income,p99p100,0.1432
AFG,2011,wealth,p0p50,0.0481
AFG,2011,wealth,p50p90,0.3724
AFG,2011,wealth,p90p100,0.5795
AFG,2011,wealth,p99.9p100,0.0931
AFG,2011,wealth,p99p100,0.2341
AFG,2012,income,p0p50,0.19
AFG,2012,income,p50p90,0.4224
AFG,2012,income,p90p100,0.3876
AFG,2012,income,p99.9p100,0.0454
AFG,2012,income,p99p100,0.1382
AFG,2012,wealth,p0p50,0.0483
AFG,2012,wealth,p50p90,0.3735
AFG,2012,wealth,p90p100,0.5782
AFG,2012,wealth,p99.9p100,0.0923
AFG,2012,wealth,p99p100,0.2329
AFG,2013,income,p0p50,0.1873
AFG,2013,income,p50p90,0.4203
AFG,2013,income,p90p100,0.3923
AFG,2013,income,p99.9p100,0.0465
AFG,2013,income,p99p100,0.1409
AFG,2013,wealth,p0p50,0.0482
AFG,2013,wealth,p50p90,0.3727
AFG,2013,wealth,p90p100,0.5791000000000001
AFG,2013,wealth,p99.9p100,0.0929
AFG,2013,wealth,p99p100,0.2338
AFG,2014,income,p0p50,0.1855
AFG,2014,income,p50p90,0.4184
AFG,2014,income,p90p100,0.3961
AFG,2014,income,p99.9p100,0.0471
AFG,2014,income,p99p100,0.1429
AFG,2014,wealth,p0p50,0.0481
AFG,2014,wealth,p50p90,0.3723
AFG,2014,wealth,p90p100,0.5796
AFG,2014,wealth,p99.9p100,0.0932
AFG,2014,wealth,p99p100,0.2342
AFG,2015,income,p0p50,0.1848
AFG,2015,income,p50p90,0.4165
AFG,2015,income,p90p100,0.3987
AFG,2015,income,p99.9p100,0.0472
AFG,2015,income,p99p100,0.1438
AFG,2015,wealth,p0p50,0.048
AFG,2015,wealth,p50p90,0.3718
AFG,2015,wealth,p90p100,0.5802
AFG,2015,wealth,p99.9p100,0.0936
AFG,2015,wealth,p99p100,0.2347
AFG,2016,income,p0p50,0.1816
AFG,2016,income,p50p90,0.4143
AFG,2016,income,p90p100,0.4041
AFG,2016,income,p99.9p100,0.0486
AFG,2016,income,p99p100,0.1471
AFG,2016,wealth,p0p50,0.0479
AFG,2016,wealth,p50p90,0.3712
AFG,2016,wealth,p90p100,0.5809000000000001
AFG,2016,wealth,p99.9p100,0.094
AFG,2016,wealth,p99p100,0.2355
AFG,2017,income,p0p50,0.1779
AFG,2017,income,p50p90,0.4121
AFG,2017,income,p90p100,0.4101
AFG,2017,income,p99.9p100,0.0502
AFG,2017,income,p99p100,0.1508
AFG,2017,wealth,p0p50,0.0478
AFG,2017,wealth,p50p90,0.3706
AFG,2017,wealth,p90p100,0.5817
AFG,2017,wealth,p99.9p100,0.0945
AFG,2017,wealth,p99p100,0.2362
AFG,2018,income,p0p50,0.1779
AFG,2018,income,p50p90,0.4121
AFG,2018,income,p90p100,0.4101
AFG,2018,income,p99.9p100,0.0502
AFG,2018,income,p99p100,0.1508
AFG,2018,wealth,p0p50,0.0478
AFG,2018,wealth,p50p90,0.3705
AFG,2018,wealth,p90p100,0.5817
AFG,2018,wealth,p99.9p100,0.0945
AFG,2018,wealth,p99p100,0.2362
AFG,2019,income,p0p50,0.1779
AFG,2019,income,p50p90,0.4121
AFG,2019,income,p90p100,0.4101
AFG,2019,income,p99.9p100,0.0502
AFG,2019,income,p99p100,0.1508
AFG,2019,wealth,p0p50,0.0478
AFG,2019,wealth,p50p90,0.3706
AFG,2019,wealth,p90p100,0.5816
AFG,2019,wealth,p99.9p100,0.0945
AFG,2019,wealth,p99p100,0.2362
AFG,2020,income,p0p50,0.1779
AFG,2020,income,p50p90,0.4121
AFG,2020,income,p90p100,0.4101
AFG,2020,income,p99.9p100,0.0502
AFG,2020,income,p99p100,0.1508
AFG,2020,wealth,p0p50,0.0478
AFG,2020,wealth,p50p90,0.3706
AFG,2020,wealth,p90p100,0.5816
AFG,2020,wealth,p99.9p100,0.0945
AFG,2020,wealth,p99p100,0.2362
AFG,2021,income,p0p50,0.1779
AFG,2021,income,p50p90,0.4121
AFG,2021,income,p90p100,0.4101
AFG,2021,income,p99.9p100,0.0502
AFG,2021,income,p99p100,0.1508
AFG,2021,wealth,p0p50,0.0478
AFG,2021,wealth,p50p90,0.3706
AFG,2021,wealth,p90p100,0.5817
AFG,2021,wealth,p99.9p100,0.0945
AFG,2021,wealth,p99p100,0.2362
AFG,2022,income,p0p50,0.1779
AFG,2022,income,p50p90,0.4121
AFG,2022,income,p90p100,0.4101
AFG,2022,income,p99.9p100,0.0502
AFG,2022,income,p99p100,0.1508
AFG,2022,wealth,p0p50,0.0478
AFG,2022,wealth,p50p90,0.3705
AFG,2022,wealth,p90p100,0.5817
AFG,2022,wealth,p99.9p100,0.0945
AFG,2022,wealth,p99p100,0.2362
AFG,2023,income,p0p50,0.1779
AFG,2023,income,p50p90,0.4121
AFG,2023,income,p90p100,0.4101
AFG,2023,income,p99.9p100,0.0502
AFG,2023,income,p99p100,0.1508
AFG,2023,wealth,p0p50,0.0478
AFG,2023,wealth,p50p90,0.3706
AFG,2023,wealth,p90p100,0.5816
AFG,2023,wealth,p99.9p100,0.0945
AFG,2023,wealth,p99p100,0.2361
AFG,2024,income,p0p50,0.1779
AFG,2024,income,p50p90,0.4121
AFG,2024,income,p90p100,0.4101
AFG,2024,income,p99.9p100,0.0502
AFG,2024,income,p99p100,0.1508
AFG,2024,wealth,p0p50,0.0478
AFG,2024,wealth,p50p90,0.3706
AFG,2024,wealth,p90p100,0.5816
AFG,2024,wealth,p99.9p100,0.0945
AFG,2024,wealth,p99p100,0.2362
AGO,2010,income,p0p50,0.1159
AGO,2010,income,p50p90,0.3734
AGO,2010,income,p90p100,0.5106
AGO,2010,income,p99.9p100,0.0515
AGO,2010,income,p99p100,0.1745
AGO,2010,wealth,p0p50,0.0381
AGO,2010,wealth,p50p90,0.3255
AGO,2010,wealth,p90p100,0.6364000000000001
AGO,2010,wealth,p99.9p100,0.1371
AGO,2010,wealth,p99p100,0.295
AGO,2011,income,p0p50,0.1127
AGO,2011,income,p50p90,0.3679
AGO,2011,income,p90p100,0.5193
AGO,2011,income,p99.9p100,0.0583
AGO,2011,income,p99p100,0.1852
AGO,2011,wealth,p0p50,0.0368
AGO,2011,wealth,p50p90,0.32
AGO,2011,wealth,p90p100,0.6432
AGO,2011,wealth,p99.9p100,0.143
AGO,2011,wealth,p99p100,0.3028
AGO,2012,income,p0p50,0.1095
AGO,2012,income,p50p90,0.3624
AGO,2012,income,p90p100,0.528
AGO,2012,income,p99.9p100,0.0654
AGO,2012,income,p99p100,0.1959
AGO,2012,wealth,p0p50,0.0357
AGO,2012,wealth,p50p90,0.3156
AGO,2012,wealth,p90p100,0.6487
AGO,2012,wealth,p99.9p100,0.1478
AGO,2012,wealth,p99p100,0.3092
AGO,2013,income,p0p50,0.1063
AGO,2013,income,p50p90,0.3569
AGO,2013,income,p90p100,0.5367000000000001
AGO,2013,income,p99.9p100,0.0727
AGO,2013,income,p99p100,0.2065
AGO,2013,wealth,p0p50,0.0343
AGO,2013,wealth,p50p90,0.3099
AGO,2013,wealth,p90p100,0.6558
AGO,2013,wealth,p99.9p100,0.154
AGO,2013,wealth,p99p100,0.3175
AGO,2014,income,p0p50,0.1031
AGO,2014,income,p50p90,0.3514
AGO,2014,income,p90p100,0.5454
AGO,2014,income,p99.9p100,0.0803
AGO,2014,income,p99p100,0.2172
AGO,2014,wealth,p0p50,0.0326
AGO,2014,wealth,p50p90,0.3035
AGO,2014,wealth,p90p100,0.6639
AGO,2014,wealth,p99.9p100,0.1612
AGO,2014,wealth,p99p100,0.327
AGO,2015,income,p0p50,0.0999
AGO,2015,income,p50p90,0.346
AGO,2015,income,p90p100,0.5541
AGO,2015,income,p99.9p100,0.088
AGO,2015,income,p99p100,0.2279
AGO,2015,wealth,p0p50,0.0302
AGO,2015,wealth,p50p90,0.2945
AGO,2015,wealth,p90p100,0.6754
AGO,2015,wealth,p99.9p100,0.1714
AGO,2015,wealth,p99p100,0.3405
AGO,2016,income,p0p50,0.0967
AGO,2016,income,p50p90,0.3405
AGO,2016,income,p90p100,0.5628000000000001
AGO,2016,income,p99.9p100,0.0959
AGO,2016,income,p99p100,0.2385
AGO,2016,wealth,p0p50,0.0242
AGO,2016,wealth,p50p90,0.2741
AGO,2016,wealth,p90p100,0.7017
AGO,2016,wealth,p99.9p100,0.1948
AGO,2016,wealth,p99p100,0.3718
AGO,2017,income,p0p50,0.0936
AGO,2017,income,p50p90,0.335
AGO,2017,income,p90p100,0.5714
AGO,2017,income,p99.9p100,0.104
AGO,2017,income,p99p100,0.2491
AGO,2017,wealth,p0p50,0.0225
AGO,2017,wealth,p50p90,0.2688
AGO,2017,wealth,p90p100,0.7087
AGO,2017,wealth,p99.9p100,0.201
AGO,2017,wealth,p99p100,0.38
AGO,2018,income,p0p50,0.0904
AGO,2018,income,p50p90,0.3295
AGO,2018,income,p90p100,0.5801000000000001
AGO,2018,income,p99.9p100,0.1122
AGO,2018,income,p99p100,0.2598
AGO,2018,wealth,p0p50,0.0217
AGO,2018,wealth,p50p90,0.2663
AGO,2018,wealth,p90p100,0.7121000000000001
AGO,2018,wealth,p99.9p100,0.2039
AGO,2018,wealth,p99p100,0.384
AGO,2019,income,p0p50,0.0904
AGO,2019,income,p50p90,0.3295
AGO,2019,income,p90p100,0.5801000000000001
AGO,2019,income,p99.9p100,0.1122
AGO,2019,income,p99p100,0.2598
AGO,2019,wealth,p0p50,0.0216
AGO,2019,wealth,p50p90,0.2662
AGO,2019,wealth,p90p100,0.7121000000000001
AGO,2019,wealth,p99.9p100,0.204
AGO,2019,wealth,p99p100,0.3841
AGO,2020,income,p0p50,0.0904
AGO,2020,income,p50p90,0.3295
AGO,2020,income,p90p100,0.5801000000000001
AGO,2020,income,p99.9p100,0.1122
AGO,2020,income,p99p100,0.2598
AGO,2020,wealth,p0p50,0.0216
AGO,2020,wealth,p50p90,0.2662
AGO,2020,wealth,p90p100,0.7122
AGO,2020,wealth,p99.9p100,0.2041
AGO,2020,wealth,p99p100,0.3842
AGO,2021,income,p0p50,0.0904
AGO,2021,income,p50p90,0.3295
AGO,2021,income,p90p100,0.5801000000000001
AGO,2021,income,p99.9p100,0.1122
AGO,2021,income,p99p100,0.2598
AGO,2021,wealth,p0p50,0.0217
AGO,2021,wealth,p50p90,0.2663
AGO,2021,wealth,p90p100,0.7120000000000001
AGO,2021,wealth,p99.9p100,0.2039
AGO,2021,wealth,p99p100,0.384
AGO,2022,income,p0p50,0.0904
AGO,2022,income,p50p90,0.3295
AGO,2022,income,p90p100,0.5801000000000001
AGO,2022,income,p99.9p100,0.1122
AGO,2022,income,p99p100,0.2598
AGO,2022,wealth,p0p50,0.0217
AGO,2022,wealth,p50p90,0.2663
AGO,2022,wealth,p90p100,0.7121000000000001
AGO,2022,wealth,p99.9p100,0.204
AGO,2022,wealth,p99p100,0.384
AGO,2023,income,p0p50,0.0904
AGO,2023,income,p50p90,0.3295
AGO,2023,income,p90p100,0.5801000000000001
AGO,2023,income,p99.9p100,0.1122
AGO,2023,income,p99p100,0.2598
AGO,2023,wealth,p0p50,0.0216
AGO,2023,wealth,p50p90,0.2662
AGO,2023,wealth,p90p100,0.7121000000000001
AGO,2023,wealth,p99.9p100,0.204
AGO,2023,wealth,p99p100,0.3841
AGO,2024,income,p0p50,0.0904
AGO,2024,income,p50p90,0.3295
AGO,2024,income,p90p100,0.5801000000000001
AGO,2024,income,p99.9p100,0.1122
AGO,2024,income,p99p100,0.2598
AGO,2024,wealth,p0p50,0.0216
AGO,2024,wealth,p50p90,0.2662
AGO,2024,wealth,p90p100,0.7122
AGO,2024,wealth,p99.9p100,0.204
AGO,2024,wealth,p99p100,0.3841
ALB,2010,income,p0p50,0.1913
ALB,2010,income,p50p90,0.4819000000000001
ALB,2010,income,p90p100,0.3268
ALB,2010,income,p99.9p100,0.0217
ALB,2010,income,p99p100,0.0841
ALB,2010,wealth,p0p50,0.0502
ALB,2010,wealth,p50p90,0.3834
ALB,2010,wealth,p90p100,0.5665
ALB,2010,wealth,p99.9p100,0.0857
ALB,2010,wealth,p99p100,0.2221
ALB,2011,income,p0p50,0.1904
ALB,2011,income,p50p90,0.4788
ALB,2011,income,p90p100,0.3308
ALB,2011,income,p99.9p100,0.0223
ALB,2011,income,p99p100,0.0859
ALB,2011,wealth,p0p50,0.0501
ALB,2011,wealth,p50p90,0.3829
ALB,2011,wealth,p90p100,0.5670000000000001
ALB,2011,wealth,p99.9p100,0.086
ALB,2011,wealth,p99p100,0.2226
ALB,2012,income,p0p50,0.1911
ALB,2012,income,p50p90,0.4791
ALB,2012,income,p90p100,0.3297
ALB,2012,income,p99.9p100,0.0221
ALB,2012,income,p99p100,0.0854
ALB,2012,wealth,p0p50,0.0501
ALB,2012,wealth,p50p90,0.3831
ALB,2012,wealth,p90p100,0.5668000000000001
ALB,2012,wealth,p99.9p100,0.0859
ALB,2012,wealth,p99p100,0.2224
ALB,2013,income,p0p50,0.1797
ALB,2013,income,p50p90,0.4742
ALB,2013,income,p90p100,0.3461
ALB,2013,income,p99.9p100,0.025
ALB,2013,income,p99p100,0.0931
ALB,2013,wealth,p0p50,0.0497
ALB,2013,wealth,p50p90,0.3806
ALB,2013,wealth,p90p100,0.5697
ALB,2013,wealth,p99.9p100,0.0874
ALB,2013,wealth,p99p100,0.225
ALB,2014,income,p0p50,0.1724
ALB,2014,income,p50p90,0.4722
ALB,2014,income,p90p100,0.3554
ALB,2014,income,p99.9p100,0.0259
ALB,2014,income,p99p100,0.0959
ALB,2014,wealth,p0p50,0.0492
ALB,2014,wealth,p50p90,0.3779
ALB,2014,wealth,p90p100,0.5729000000000001
ALB,2014,wealth,p99.9p100,0.0892
ALB,2014,wealth,p99p100,0.228
ALB,2015,income,p0p50,0.1765
ALB,2015,income,p50p90,0.4714
ALB,2015,income,p90p100,0.3521
ALB,2015,income,p99.9p100,0.0263
ALB,2015,income,p99p100,0.0962
ALB,2015,wealth,p0p50,0.0494
ALB,2015,wealth,p50p90,0.379
ALB,2015,wealth,p90p100,0.5716
ALB,2015,wealth,p99.9p100,0.0885
ALB,2015,wealth,p99p100,0.2268
ALB,2016,income,p0p50,0.1649
ALB,2016,income,p50p90,0.4774
ALB,2016,income,p90p100,0.3577
ALB,2016,income,p99.9p100,0.0243
ALB,2016,income,p99p100,0.0933
ALB,2016,wealth,p0p50,0.049
ALB,2016,wealth,p50p90,0.377
ALB,2016,wealth,p90p100,0.5740000000000001
ALB,2016,wealth,p99.9p100,0.0898
ALB,2016,wealth,p99p100,0.229
ALB,2017,income,p0p50,0.1706
ALB,2017,income,p50p90,0.4749
ALB,2017,income,p90p100,0.3545
ALB,2017,income,p99.9p100,0.0253
ALB,2017,income,p99p100,0.0948
ALB,2017,wealth,p0p50,0.0492
ALB,2017,wealth,p50p90,0.3783
ALB,2017,wealth,p90p100,0.5725
ALB,2017,wealth,p99.9p100,0.0889
ALB,2017,wealth,p99p100,0.2275
ALB,2018,income,p0p50,0.1749
ALB,2018,income,p50p90,0.4748
ALB,2018,income,p90p100,0.3503
ALB,2018,income,p99.9p100,0.0246
ALB,2018,income,p99p100,0.0929
ALB,2018,wealth,p0p50,0.0495
ALB,2018,wealth,p50p90,0.3797
ALB,2018,wealth,p90p100,0.5708
ALB,2018,wealth,p99.9p100,0.088
ALB,2018,wealth,p99p100,0.226
ALB,2019,income,p0p50,0.1832
ALB,2019,income,p50p90,0.472
ALB,2019,income,p90p100,0.3448
ALB,2019,income,p99.9p100,0.0253
ALB,2019,income,p99p100,0.0933
ALB,2019,wealth,p0p50,0.0497
ALB,2019,wealth,p50p90,0.3809
ALB,2019,wealth,p90p100,0.5694
ALB,2019,wealth,p99.9p100,0.0872
ALB,2019,wealth,p99p100,0.2247
ALB,2020,income,p0p50,0.1834
ALB,2020,income,p50p90,0.4719
ALB,2020,income,p90p100,0.3448
ALB,2020,income,p99.9p100,0.0253
ALB,2020,income,p99p100,0.0933
ALB,2020,wealth,p0p50,0.0497
ALB,2020,wealth,p50p90,0.3809
ALB,2020,wealth,p90p100,0.5693
ALB,2020,wealth,p99.9p100,0.0872
ALB,2020,wealth,p99p100,0.2247
ALB,2021,income,p0p50,0.1794
ALB,2021,income,p50p90,0.4771
ALB,2021,income,p90p100,0.3435
ALB,2021,income,p99.9p100,0.0248
ALB,2021,income,p99p100,0.0934
ALB,2021,wealth,p0p50,0.0498
ALB,2021,wealth,p50p90,0.3812
ALB,2021,wealth,p90p100,0.5691
ALB,2021,wealth,p99.9p100,0.087
ALB,2021,wealth,p99p100,0.2244
ALB,2022,income,p0p50,0.1723
ALB,2022,income,p50p90,0.4811
ALB,2022,income,p90p100,0.3466
ALB,2022,income,p99.9p100,0.0241
ALB,2022,income,p99p100,0.0929
ALB,2022,wealth,p0p50,0.0497
ALB,2022,wealth,p50p90,0.3806
ALB,2022,wealth,p90p100,0.5697
ALB,2022,wealth,p99.9p100,0.0874
ALB,2022,wealth,p99p100,0.225
ALB,2023,income,p0p50,0.1776
ALB,2023,income,p50p90,0.4787
ALB,2023,income,p90p100,0.3437
ALB,2023,income,p99.9p100,0.0245
ALB,2023,income,p99p100,0.0932
ALB,2023,wealth,p0p50,0.0498
ALB,2023,wealth,p50p90,0.3812
ALB,2023,wealth,p90p100,0.5691
ALB,2023,wealth,p99.9p100,0.0871
ALB,2023,wealth,p99p100,0.2245
ALB,2024,income,p0p50,0.1776
ALB,2024,income,p50p90,0.4787
ALB,2024,income,p90p100,0.3437
ALB,2024,income,p99.9p100,0.0245
ALB,2024,income,p99p100,0.0932
ALB,2024,wealth,p0p50,0.0498
ALB,2024,wealth,p50p90,0.3812
ALB,2024,wealth,p90p100,0.5691
ALB,2024,wealth,p99.9p100,0.087
ALB,2024,wealth,p99p100,0.2244
AND,2010,income,p0p50,0.184
AND,2010,income,p50p90,0.4645
AND,2010,income,p90p100,0.3515
AND,2010,income,p99.9p100,0.0371
AND,2010,income,p99p100,0.1093
AND,2010,wealth,p0p50,0.0494
AND,2010,wealth,p50p90,0.3792
AND,2010,wealth,p90p100,0.5714
AND,2010,wealth,p99.9p100,0.0883
AND,2010,wealth,p99p100,0.2265
AND,2011,income,p0p50,0.1833
AND,2011,income,p50p90,0.4661
AND,2011,income,p90p100,0.3505
AND,2011,income,p99.9p100,0.0373
AND,2011,income,p99p100,0.1087
AND,2011,wealth,p0p50,0.0495
AND,2011,wealth,p50p90,0.3796
AND,2011,wealth,p90p100,0.5710000000000001
AND,2011,wealth,p99.9p100,0.0881
AND,2011,wealth,p99p100,0.2261
AND,2012,income,p0p50,0.1846
AND,2012,income,p50p90,0.4715
AND,2012,income,p90p100,0.3439
AND,2012,income,p99.9p100,0.0344
AND,2012,income,p99p100,0.1025
AND,2012,wealth,p0p50,0.0497
AND,2012,wealth,p50p90,0.3811
AND,2012,wealth,p90p100,0.5692
AND,2012,wealth,p99.9p100,0.0871
AND,2012,wealth,p99p100,0.2245
AND,2013,income,p0p50,0.1816
AND,2013,income,p50p90,0.4719
AND,2013,income,p90p100,0.3464
AND,2013,income,p99.9p100,0.0351
AND,2013,income,p99p100,0.104
AND,2013,wealth,p0p50,0.0497
AND,2013,wealth,p50p90,0.3807
AND,2013,wealth,p90p100,0.5696
AND,2013,wealth,p99.9p100,0.0873
AND,2013,wealth,p99p100,0.2249
AND,2014,income,p0p50,0.1805
AND,2014,income,p50p90,0.4686
AND,2014,income,p90p100,0.3509
AND,2014,income,p99.9p100,0.0374
AND,2014,income,p99p100,0.1086
AND,2014,wealth,p0p50,0.0495
AND,2014,wealth,p50p90,0.3795
AND,2014,wealth,p90p100,0.5710000000000001
AND,2014,wealth,p99.9p100,0.0881
AND,2014,wealth,p99p100,0.2262
AND,2015,income,p0p50,0.1808
AND,2015,income,p50p90,0.4693
AND,2015,income,p90p100,0.3499
AND,2015,income,p99.9p100,0.0362
AND,2015,income,p99p100,0.1066
AND,2015,wealth,p0p50,0.0495
AND,2015,wealth,p50p90,0.3799
AND,2015,wealth,p90p100,0.5706
AND,2015,wealth,p99.9p100,0.0879
AND,2015,wealth,p99p100,0.2258
AND,2016,income,p0p50,0.1814
AND,2016,income,p50p90,0.467
AND,2016,income,p90p100,0.3515
AND,2016,income,p99.9p100,0.0361
AND,2016,income,p99p100,0.1078
AND,2016,wealth,p0p50,0.0494
AND,2016,wealth,p50p90,0.3793
AND,2016,wealth,p90p100,0.5713
AND,2016,wealth,p99.9p100,0.0883
AND,2016,wealth,p99p100,0.2264
AND,2017,income,p0p50,0.1826
AND,2017,income,p50p90,0.4644
AND,2017,income,p90p100,0.353
AND,2017,income,p99.9p100,0.0371
AND,2017,income,p99p100,0.1079
AND,2017,wealth,p0p50,0.0493
AND,2017,wealth,p50p90,0.3788
AND,2017,wealth,p90p100,0.5719000000000001
AND,2017,wealth,p99.9p100,0.0886
AND,2017,wealth,p99p100,0.227
AND,2018,income,p0p50,0.1842
AND,2018,income,p50p90,0.463
AND,2018,income,p90p100,0.3528
AND,2018,income,p99.9p100,0.0376
AND,2018,income,p99p100,0.1084
AND,2018,wealth,p0p50,0.0494
