iso3,year,activity,size,measure,value
SWE,2017,J61,S10T49,EMPN,2300
SWE,2017,J61,S10T49,ENTR,98
SWE,2017,J61,S1T9,EMPN,1495
SWE,2017,J61,S1T9,ENTR,1271
SWE,2017,J61,S50T249,EMPN,2294
SWE,2017,J61,S50T249,ENTR,21
SWE,2017,J61,S_GE250,EMPN,24319
SWE,2017,J61,S_GE250,ENTR,12
SWE,2017,J61,_T,EMPN,30407
SWE,2017,J61,_T,ENTR,1402
SWE,2017,J62,S10T49,EMPN,31061
SWE,2017,J62,S10T49,ENTR,1310
SWE,2017,J62,S1T9,EMPN,31881
SWE,2017,J62,S1T9,ENTR,35362
SWE,2017,J62,S50T249,EMPN,28348
SWE,2017,J62,S50T249,ENTR,260
SWE,2017,J62,S_GE250,EMPN,52760
SWE,2017,J62,S_GE250,ENTR,45
SWE,2017,J62,_T,EMPN,144051
SWE,2017,J62,_T,ENTR,36977
SWE,2017,J63,S10T49,ENTR,125
SWE,2017,J63,S1T9,EMPN,2887
SWE,2017,J63,S1T9,ENTR,3227
SWE,2017,J63,S50T249,EMPN,0
SWE,2017,J63,S50T249,ENTR,27
SWE,2017,J63,S_GE250,EMPN,0
SWE,2017,J63,S_GE250,ENTR,5
SWE,2017,J63,_T,EMPN,12522
SWE,2017,J63,_T,ENTR,3384
SWE,2017,L,S10T49,EMPN,18977
SWE,2017,L,S10T49,ENTR,862
SWE,2017,L,S1T9,EMPN,38911
SWE,2017,L,S1T9,ENTR,66028
SWE,2017,L,S50T249,EMPN,19945
SWE,2017,L,S50T249,ENTR,173
SWE,2017,L,S_GE250,EMPN,13302
SWE,2017,L,S_GE250,ENTR,26
SWE,2017,L,_T,EMPN,91135
SWE,2017,L,_T,ENTR,67089
SWE,2017,M,S10T49,EMPN,77143
SWE,2017,M,S10T49,ENTR,3421
SWE,2017,M,S1T9,EMPN,138488
SWE,2017,M,S1T9,ENTR,180890
SWE,2017,M,S50T249,EMPN,52993
SWE,2017,M,S50T249,ENTR,479
SWE,2017,M,S_GE250,EMPN,77855
SWE,2017,M,S_GE250,ENTR,75
SWE,2017,M,_T,EMPN,346479
SWE,2017,M,_T,ENTR,184865
SWE,2017,M69,S10T49,EMPN,9884
SWE,2017,M69,S10T49,ENTR,471
SWE,2017,M69,S1T9,EMPN,25900
SWE,2017,M69,S1T9,ENTR,28223
SWE,2017,M69,S50T249,EMPN,6169
SWE,2017,M69,S50T249,ENTR,58
SWE,2017,M69,S_GE250,EMPN,19765
SWE,2017,M69,S_GE250,ENTR,14
SWE,2017,M69,_T,EMPN,61719
SWE,2017,M69,_T,ENTR,28766
SWE,2017,M70,S10T49,EMPN,19880
SWE,2017,M70,S10T49,ENTR,860
SWE,2017,M70,S1T9,EMPN,46024
SWE,2017,M70,S1T9,ENTR,64219
SWE,2017,M70,S50T249,EMPN,8614
SWE,2017,M70,S50T249,ENTR,86
SWE,2017,M70,S_GE250,EMPN,6287
SWE,2017,M70,S_GE250,ENTR,8
SWE,2017,M70,_T,EMPN,80805
SWE,2017,M70,_T,ENTR,65173
SWE,2017,M71,S10T49,EMPN,24846
SWE,2017,M71,S10T49,ENTR,1118
SWE,2017,M71,S1T9,EMPN,34944
SWE,2017,M71,S1T9,ENTR,37194
SWE,2017,M71,S50T249,EMPN,22563
SWE,2017,M71,S50T249,ENTR,189
SWE,2017,M71,S_GE250,EMPN,40419
SWE,2017,M71,S_GE250,ENTR,40
SWE,2017,M71,_T,EMPN,122773
SWE,2017,M71,_T,ENTR,38541
SWE,2017,M72,S10T49,EMPN,3934
SWE,2017,M72,S10T49,ENTR,159
SWE,2017,M72,S1T9,EMPN,3352
SWE,2017,M72,S1T9,ENTR,3818
SWE,2017,M72,S50T249,EMPN,3977
SWE,2017,M72,S50T249,ENTR,38
SWE,2017,M72,S_GE250,EMPN,4257
SWE,2017,M72,S_GE250,ENTR,7
SWE,2017,M72,_T,EMPN,15519
SWE,2017,M72,_T,ENTR,4022
SWE,2017,M73,S10T49,EMPN,10639
SWE,2017,M73,S10T49,ENTR,455
SWE,2017,M73,S1T9,EMPN,0
SWE,2017,M73,S1T9,ENTR,12865
SWE,2017,M73,S50T249,EMPN,6944
SWE,2017,M73,S50T249,ENTR,65
SWE,2017,M73,S_GE250,EMPN,0
SWE,2017,M73,S_GE250,ENTR,1
SWE,2017,M73,_T,EMPN,29708
SWE,2017,M73,_T,ENTR,13386
