iso3,row,product,value
ARG,CPA_A01,CPA_S96,0.000
ARG,CPA_A01,CPA_T,0.000
ARG,CPA_A01,CPA_U,0.000
ARG,CPA_A02,CPA_A01,251.879
ARG,CPA_A02,CPA_A02,8.332
ARG,CPA_A02,CPA_A03,1.028
ARG,CPA_A02,CPA_B,0.056
ARG,CPA_A02,CPA_C10-12,1.989
ARG,CPA_A02,CPA_C13-15,0.857
ARG,CPA_A02,CPA_C16,163.265
ARG,CPA_A02,CPA_C17,38.559
ARG,CPA_A02,CPA_C18,0.874
ARG,CPA_A02,CPA_C19,0.139
ARG,CPA_A02,CPA_C20,3.768
ARG,CPA_A02,CPA_C21,1.404
ARG,CPA_A02,CPA_C22,8.163
ARG,CPA_A02,CPA_C23,2.602
ARG,CPA_A02,CPA_C24,0.020
ARG,CPA_A02,CPA_C25,0.097
ARG,CPA_A02,CPA_C26,0.156
ARG,CPA_A02,CPA_C27,0.058
ARG,CPA_A02,CPA_C28,0.973
ARG,CPA_A02,CPA_C29,0.210
ARG,CPA_A02,CPA_C30,0.105
ARG,CPA_A02,CPA_C31_32,1.400
ARG,CPA_A02,CPA_C33,0.091
ARG,CPA_A02,CPA_D35,0.000
ARG,CPA_A02,CPA_E36,0.000
ARG,CPA_A02,CPA_E37-39,0.600
ARG,CPA_A02,CPA_F,4.774
ARG,CPA_A02,CPA_G45,0.000
ARG,CPA_A02,CPA_G46,6.034
ARG,CPA_A02,CPA_G47,0.000
ARG,CPA_A02,CPA_H49,0.000
ARG,CPA_A02,CPA_H50,0.000
ARG,CPA_A02,CPA_H51,0.000
ARG,CPA_A02,CPA_H52,0.000
ARG,CPA_A02,CPA_H53,0.000
ARG,CPA_A02,CPA_I,0.000
ARG,CPA_A02,CPA_J58,0.274
ARG,CPA_A02,CPA_J59_60,0.003
ARG,CPA_A02,CPA_J61,0.000
ARG,CPA_A02,CPA_J62_63,0.000
ARG,CPA_A02,CPA_K64,0.000
ARG,CPA_A02,CPA_K65,0.000
ARG,CPA_A02,CPA_K66,0.000
ARG,CPA_A02,CPA_L,0.331
ARG,CPA_A02,CPA_M69_70,0.000
ARG,CPA_A02,CPA_M71,0.600
ARG,CPA_A02,CPA_M72,0.097
ARG,CPA_A02,CPA_M73,0.003
ARG,CPA_A02,CPA_M74_75,0.000
ARG,CPA_A02,CPA_N77,0.045
ARG,CPA_A02,CPA_N78,0.000
ARG,CPA_A02,CPA_N79,0.000
ARG,CPA_A02,CPA_N80-82,0.000
ARG,CPA_A02,CPA_O84,0.285
ARG,CPA_A02,CPA_P85,0.000
ARG,CPA_A02,CPA_Q86,0.000
ARG,CPA_A02,CPA_Q87_88,0.000
ARG,CPA_A02,CPA_R90-92,0.001
ARG,CPA_A02,CPA_R93,0.005
ARG,CPA_A02,CPA_S94,0.254
ARG,CPA_A02,CPA_S95,0.000
ARG,CPA_A02,CPA_S96,0.000
ARG,CPA_A02,CPA_T,0.000
ARG,CPA_A02,CPA_U,0.000
ARG,CPA_A03,CPA_A01,9.003
ARG,CPA_A03,CPA_A02,0.003
ARG,CPA_A03,CPA_A03,0.001
ARG,CPA_A03,CPA_B,0.646
ARG,CPA_A03,CPA_C10-12,431.778
ARG,CPA_A03,CPA_C13-15,0.002
ARG,CPA_A03,CPA_C16,0.000
ARG,CPA_A03,CPA_C17,0.004
ARG,CPA_A03,CPA_C18,0.000
ARG,CPA_A03,CPA_C19,0.082
ARG,CPA_A03,CPA_C20,3.291
ARG,CPA_A03,CPA_C21,0.996
ARG,CPA_A03,CPA_C22,0.045
ARG,CPA_A03,CPA_C23,0.002
ARG,CPA_A03,CPA_C24,0.000
ARG,CPA_A03,CPA_C25,0.001
ARG,CPA_A03,CPA_C26,0.001
ARG,CPA_A03,CPA_C27,0.000
ARG,CPA_A03,CPA_C28,0.000
ARG,CPA_A03,CPA_C29,0.000
ARG,CPA_A03,CPA_C30,0.001
ARG,CPA_A03,CPA_C31_32,0.007
ARG,CPA_A03,CPA_C33,0.000
ARG,CPA_A03,CPA_D35,0.000
ARG,CPA_A03,CPA_E36,0.000
ARG,CPA_A03,CPA_E37-39,2.954
ARG,CPA_A03,CPA_F,0.107
ARG,CPA_A03,CPA_G45,0.000
ARG,CPA_A03,CPA_G46,9.877
ARG,CPA_A03,CPA_G47,0.000
ARG,CPA_A03,CPA_H49,0.766
ARG,CPA_A03,CPA_H50,0.000
ARG,CPA_A03,CPA_H51,0.000
ARG,CPA_A03,CPA_H52,0.000
ARG,CPA_A03,CPA_H53,0.000
ARG,CPA_A03,CPA_I,232.796
ARG,CPA_A03,CPA_J58,0.213
ARG,CPA_A03,CPA_J59_60,0.315
ARG,CPA_A03,CPA_J61,0.029
ARG,CPA_A03,CPA_J62_63,0.000
ARG,CPA_A03,CPA_K64,0.004
ARG,CPA_A03,CPA_K65,0.000
ARG,CPA_A03,CPA_K66,0.000
ARG,CPA_A03,CPA_L,3.092
ARG,CPA_A03,CPA_M69_70,0.000
ARG,CPA_A03,CPA_M71,2.094
ARG,CPA_A03,CPA_M72,0.016
ARG,CPA_A03,CPA_M73,0.000
ARG,CPA_A03,CPA_M74_75,0.000
ARG,CPA_A03,CPA_N77,0.851
ARG,CPA_A03,CPA_N78,0.000
ARG,CPA_A03,CPA_N79,0.000
ARG,CPA_A03,CPA_N80-82,0.291
ARG,CPA_A03,CPA_O84,0.000
ARG,CPA_A03,CPA_P85,0.000
ARG,CPA_A03,CPA_Q86,0.000
ARG,CPA_A03,CPA_Q87_88,0.000
ARG,CPA_A03,CPA_R90-92,0.000
ARG,CPA_A03,CPA_R93,0.226
ARG,CPA_A03,CPA_S94,0.000
ARG,CPA_A03,CPA_S95,0.000
ARG,CPA_A03,CPA_S96,0.000
ARG,CPA_A03,CPA_T,0.000
ARG,CPA_A03,CPA_U,0.000
ARG,CPA_B,CPA_A01,7.945
ARG,CPA_B,CPA_A02,0.283
ARG,CPA_B,CPA_A03,0.001
ARG,CPA_B,CPA_B,4720.791
ARG,CPA_B,CPA_C10-12,378.167
ARG,CPA_B,CPA_C13-15,12.661
ARG,CPA_B,CPA_C16,0.060
ARG,CPA_B,CPA_C17,26.885
ARG,CPA_B,CPA_C18,1.571
ARG,CPA_B,CPA_C19,12431.536
ARG,CPA_B,CPA_C20,1016.127
ARG,CPA_B,CPA_C21,185.446
ARG,CPA_B,CPA_C22,11.079
ARG,CPA_B,CPA_C23,1079.672
ARG,CPA_B,CPA_C24,1551.641
ARG,CPA_B,CPA_C25,284.118
ARG,CPA_B,CPA_C26,2.719
ARG,CPA_B,CPA_C27,0.738
ARG,CPA_B,CPA_C28,6.186
ARG,CPA_B,CPA_C29,12.576
ARG,CPA_B,CPA_C30,1.296
ARG,CPA_B,CPA_C31_32,1.367
ARG,CPA_B,CPA_C33,0.819
ARG,CPA_B,CPA_D35,5755.613
ARG,CPA_B,CPA_E36,1.508
ARG,CPA_B,CPA_E37-39,8.512
ARG,CPA_B,CPA_F,2223.915
ARG,CPA_B,CPA_G45,0.000
ARG,CPA_B,CPA_G46,49.946
ARG,CPA_B,CPA_G47,0.000
ARG,CPA_B,CPA_H49,0.342
ARG,CPA_B,CPA_H50,0.000
ARG,CPA_B,CPA_H51,0.000
ARG,CPA_B,CPA_H52,0.000
ARG,CPA_B,CPA_H53,0.000
ARG,CPA_B,CPA_I,19.520
ARG,CPA_B,CPA_J58,3.721
ARG,CPA_B,CPA_J59_60,0.168
ARG,CPA_B,CPA_J61,0.508
ARG,CPA_B,CPA_J62_63,0.010
ARG,CPA_B,CPA_K64,0.000
ARG,CPA_B,CPA_K65,0.000
ARG,CPA_B,CPA_K66,0.000
ARG,CPA_B,CPA_L,132.649
ARG,CPA_B,CPA_M69_70,29.525
ARG,CPA_B,CPA_M71,60.017
ARG,CPA_B,CPA_M72,5.096
ARG,CPA_B,CPA_M73,5.383
ARG,CPA_B,CPA_M74_75,4.369
ARG,CPA_B,CPA_N77,1.563
ARG,CPA_B,CPA_N78,2.234
ARG,CPA_B,CPA_N79,0.000
ARG,CPA_B,CPA_N80-82,20.847
ARG,CPA_B,CPA_O84,50.230
ARG,CPA_B,CPA_P85,2.763
ARG,CPA_B,CPA_Q86,0.543
ARG,CPA_B,CPA_Q87_88,0.023
