iso3,age,male,female
ABW,0,0.519,0.499
ABW,1,0.525,0.504
ABW,2,0.536,0.515
ABW,3,0.55,0.528
ABW,4,0.567,0.546
ABW,5,0.594,0.572
ABW,6,0.626,0.603
ABW,7,0.655,0.63
ABW,8,0.678,0.652
ABW,9,0.695,0.668
ABW,10,0.705,0.678
ABW,11,0.707,0.68
ABW,12,0.703,0.675
ABW,13,0.7,0.672
ABW,14,0.701,0.673
ABW,15,0.703,0.678
ABW,16,0.711,0.683
ABW,17,0.728,0.693
ABW,18,0.739,0.704
ABW,19,0.737,0.697
ABW,20,0.724,0.682
ABW,21,0.702,0.652
ABW,22,0.671,0.609
ABW,23,0.634,0.572
ABW,24,0.603,0.546
ABW,25,0.584,0.536
ABW,26,0.581,0.544
ABW,27,0.586,0.57
ABW,28,0.596,0.604
ABW,29,0.61,0.631
ABW,30,0.624,0.656
ABW,31,0.634,0.675
ABW,32,0.644,0.686
ABW,33,0.651,0.69
ABW,34,0.655,0.691
ABW,35,0.658,0.695
ABW,36,0.652,0.699
ABW,37,0.643,0.704
ABW,38,0.637,0.714
ABW,39,0.629,0.722
ABW,40,0.628,0.732
ABW,41,0.628,0.746
ABW,42,0.628,0.759
ABW,43,0.63,0.778
ABW,44,0.632,0.796
ABW,45,0.638,0.802
ABW,46,0.649,0.806
ABW,47,0.658,0.811
ABW,48,0.667,0.814
ABW,49,0.681,0.819
ABW,50,0.694,0.827
ABW,51,0.704,0.844
ABW,52,0.715,0.867
ABW,53,0.727,0.884
ABW,54,0.741,0.9
ABW,55,0.756,0.912
ABW,56,0.774,0.923
ABW,57,0.793,0.929
ABW,58,0.807,0.932
ABW,59,0.81,0.932
ABW,60,0.802,0.929
ABW,61,0.785,0.924
ABW,62,0.757,0.915
ABW,63,0.723,0.898
ABW,64,0.69,0.877
ABW,65,0.662,0.851
ABW,66,0.638,0.819
ABW,67,0.615,0.781
ABW,68,0.593,0.739
ABW,69,0.571,0.699
ABW,70,0.543,0.651
ABW,71,0.505,0.605
ABW,72,0.46,0.567
ABW,73,0.416,0.526
ABW,74,0.371,0.489
ABW,75,0.33,0.452
ABW,76,0.293,0.409
ABW,77,0.26,0.368
ABW,78,0.229,0.331
ABW,79,0.198,0.297
ABW,80,0.169,0.266
ABW,81,0.143,0.237
ABW,82,0.118,0.21
ABW,83,0.095,0.187
ABW,84,0.076,0.162
ABW,85,0.058,0.135
ABW,86,0.045,0.111
ABW,87,0.033,0.089
ABW,88,0.023,0.068
ABW,89,0.016,0.05
ABW,90,0.011,0.036
ABW,91,0.007,0.024
ABW,92,0.004,0.016
ABW,93,0.003,0.011
ABW,94,0.001,0.007
ABW,95,0.001,0.004
ABW,96,0,0.002
ABW,97,0,0.001
ABW,98,0,0.001
ABW,99,0,0
ABW,100,0,0
AFG,0,715.587,684.576
AFG,1,692.684,663.583
AFG,2,677.49,648.793
AFG,3,664.408,636.102
AFG,4,650.431,622.528
AFG,5,637.108,609.505
AFG,6,623.924,596.667
AFG,7,610.412,583.438
AFG,8,597.45,570.761
AFG,9,584.388,558.083
AFG,10,570.421,544.345
AFG,11,556.405,530.439
AFG,12,541.973,516.104
AFG,13,527.317,501.656
AFG,14,514.058,488.683
AFG,15,500.091,475.355
AFG,16,488.075,464.193
AFG,17,479.395,456.219
AFG,18,470.022,447.737
AFG,19,460.212,438.906
AFG,20,450.49,430.247
AFG,21,438.959,420.345
AFG,22,425.334,408.748
AFG,23,411.073,396.429
AFG,24,395.681,383.313
AFG,25,380.324,370.228
AFG,26,365.421,357.086
AFG,27,350.072,343.272
AFG,28,334.757,328.916
AFG,29,319.135,313.822
AFG,30,302.668,297.904
AFG,31,285.884,281.635
AFG,32,269.723,265.933
AFG,33,255.285,251.857
AFG,34,242.436,239.263
AFG,35,230,227.1
AFG,36,218.286,215.634
AFG,37,206.605,204.272
AFG,38,194.739,192.778
AFG,39,184.994,183.151
AFG,40,177.598,175.72
AFG,41,171.464,169.587
AFG,42,166.21,164.444
AFG,43,160.334,158.836
AFG,44,153.804,152.691
AFG,45,147.91,147.259
AFG,46,142.006,141.936
AFG,47,135.852,136.483
AFG,48,129.883,131.278
AFG,49,123.721,125.943
AFG,50,117.281,120.413
AFG,51,111.04,115.18
AFG,52,104.835,110.022
AFG,53,98.776,105.023
AFG,54,92.927,100.224
AFG,55,87.047,95.359
AFG,56,81.323,90.641
AFG,57,75.799,86.044
AFG,58,70.602,81.635
AFG,59,65.801,77.441
AFG,60,61.319,73.305
AFG,61,57.155,69.249
AFG,62,53.325,65.376
AFG,63,49.752,61.642
AFG,64,46.358,57.981
AFG,65,43.112,54.395
AFG,66,40.051,50.956
AFG,67,37.12,47.611
AFG,68,34.217,44.241
AFG,69,31.453,41.021
AFG,70,28.791,37.919
AFG,71,26.193,34.888
AFG,72,23.555,31.532
AFG,73,21.372,29.23
AFG,74,19.263,27.914
AFG,75,17.407,25.902
AFG,76,15.917,23.328
AFG,77,14.116,20.477
AFG,78,12.271,17.68
AFG,79,10.509,15.101
AFG,80,8.878,12.802
AFG,81,7.411,10.772
AFG,82,6.122,8.976
AFG,83,4.998,7.411
AFG,84,4.027,6.086
AFG,85,3.176,4.934
AFG,86,2.433,3.882
AFG,87,1.808,2.956
AFG,88,1.312,2.212
AFG,89,0.931,1.632
AFG,90,0.643,1.173
AFG,91,0.434,0.82
AFG,92,0.284,0.558
AFG,93,0.181,0.369
AFG,94,0.111,0.238
AFG,95,0.066,0.148
AFG,96,0.038,0.09
AFG,97,0.02,0.053
AFG,98,0.011,0.03
AFG,99,0.006,0.016
AFG,100,0.005,0.016
AGO,0,664.337,652.284
AGO,1,642.188,632.096
AGO,2,625.46,616.288
AGO,3,608.606,600.295
AGO,4,592.589,585.114
AGO,5,577.519,570.845
AGO,6,562.864,556.952
AGO,7,548.756,543.652
AGO,8,534.874,530.605
AGO,9,520.225,516.574
AGO,10,504.259,501.182
AGO,11,487.654,485.038
AGO,12,471.113,468.709
AGO,13,454.613,452.486
AGO,14,437.395,435.695
AGO,15,419.745,418.482
AGO,16,402.409,401.514
AGO,17,385.272,384.736
AGO,18,368.269,368.237
AGO,19,351.668,352.262
AGO,20,335.885,337.18
AGO,21,321.26,323.212
AGO,22,307.767,310.288
AGO,23,295.62,298.642
AGO,24,284.938,288.382
AGO,25,275.757,279.625
AGO,26,268.005,272.204
AGO,27,260.945,265.377
AGO,28,254.241,258.963
AGO,29,247.731,252.796
AGO,30,241.417,246.797
AGO,31,235.661,241.304
AGO,32,229.713,235.576
AGO,33,223.146,229.19
AGO,34,216.417,222.592
AGO,35,209.384,215.655
AGO,36,202.329,208.65
AGO,37,195.071,201.487
AGO,38,187.362,193.95
AGO,39,179.366,186.148
AGO,40,171.435,178.431
AGO,41,163.919,171.153
AGO,42,156.626,164.113
AGO,43,149.516,157.289
AGO,44,142.703,150.799
AGO,45,136.134,144.559
AGO,46,129.943,138.714
AGO,47,124.047,133.232
AGO,48,118.266,127.936
AGO,49,112.599,122.797
AGO,50,107.082,117.84
AGO,51,102.216,113.555
AGO,52,98.305,110.269
AGO,53,94.736,107.341
AGO,54,90.775,103.599
AGO,55,86.508,99.013
AGO,56,82.491,94.493
AGO,57,78.881,90.317
AGO,58,75.455,86.331
AGO,59,72.043,82.385
AGO,60,68.563,78.394
AGO,61,64.978,74.349
AGO,62,61.184,70.136
AGO,63,57.278,65.901
AGO,64,53.39,61.788
AGO,65,49.436,57.649
AGO,66,45.496,53.529
AGO,67,41.651,49.489
AGO,68,37.914,45.528
AGO,69,34.325,41.668
AGO,70,30.899,37.926
AGO,71,27.666,34.34
AGO,72,24.735,31.08
AGO,73,22.038,27.963
AGO,74,19.852,25.674
AGO,75,18.163,24.208
AGO,76,16.313,22.383
AGO,77,14.246,20.168
AGO,78,12.243,17.895
AGO,79,10.414,15.718
AGO,80,8.795,13.702
AGO,81,7.391,11.87
AGO,82,6.172,10.207
AGO,83,5.114,8.695
AGO,84,4.213,7.325
AGO,85,3.416,6.059
AGO,86,2.696,4.886
AGO,87,2.077,3.84
AGO,88,1.573,2.964
AGO,89,1.172,2.247
AGO,90,0.856,1.663
AGO,91,0.612,1.204
AGO,92,0.428,0.853
AGO,93,0.294,0.589
AGO,94,0.197,0.397
AGO,95,0.131,0.261
AGO,96,0.086,0.166
AGO,97,0.057,0.104
AGO,98,0.038,0.065
AGO,99,0.026,0.041
AGO,100,0.054,0.067
ALB,0,14.759,13.791
ALB,1,14.871,13.864
ALB,2,14.992,13.928
ALB,3,15.172,14.041
ALB,4,15.425,14.232
ALB,5,15.919,14.647
ALB,6,16.646,15.29
ALB,7,17.372,15.927
ALB,8,18.216,16.654
ALB,9,18.718,17.068
ALB,10,18.548,16.867
ALB,11,17.994,16.299
ALB,12,17.247,15.806
ALB,13,16.85,15.605
ALB,14,16.885,15.527
ALB,15,17.014,15.579
ALB,16,17.399,15.886
ALB,17,17.969,16.378
ALB,18,18.466,16.875
ALB,19,18.74,17.248
ALB,20,18.962,17.495
ALB,21,19.761,18.302
ALB,22,20.922,19.683
ALB,23,21.493,20.431
ALB,24,21.713,20.683
ALB,25,22.314,21.48
ALB,26,23.201,22.659
ALB,27,23.887,23.547
ALB,28,24.04,23.927
ALB,29,23.866,23.985
ALB,30,23.86,23.927
ALB,31,23.966,23.645
ALB,32,23.848,22.98
ALB,33,23.392,21.948
ALB,34,22.608,20.744
ALB,35,21.695,19.666
ALB,36,20.841,18.9
ALB,37,19.918,18.341
ALB,38,18.82,17.811
ALB,39,17.694,17.311
ALB,40,16.64,16.837
ALB,41,15.736,16.424
ALB,42,15.068,16.172
ALB,43,14.589,16.063
ALB,44,14.283,16.073
ALB,45,14.122,16.206
ALB,46,14.072,16.415
ALB,47,14.111,16.636
ALB,48,14.227,16.863
ALB,49,14.466,17.158
ALB,50,14.813,17.518
ALB,51,15.26,17.957
ALB,52,15.785,18.459
ALB,53,16.259,18.902
ALB,54,16.54,19.085
ALB,55,16.596,18.971
ALB,56,16.594,18.843
ALB,57,16.729,18.871
ALB,58,17.038,19.073
ALB,59,17.447,19.398
ALB,60,17.839,19.667
ALB,61,18.079,19.755
ALB,62,18.072,19.633
ALB,63,17.779,19.291
ALB,64,17.211,18.699
ALB,65,16.524,18.016
ALB,66,15.875,17.411
ALB,67,15.206,16.738
ALB,68,14.396,15.865
ALB,69,13.421,14.793
ALB,70,12.466,13.719
ALB,71,11.734,12.918
ALB,72,11.184,12.357
ALB,73,10.631,11.796
ALB,74,9.893,11.021
ALB,75,8.984,10.014
ALB,76,8.107,8.975
ALB,77,7.434,8.162
ALB,78,7.016,7.719
ALB,79,6.744,7.542
ALB,80,6.452,7.431
ALB,81,6.044,7.192
ALB,82,5.5,6.684
ALB,83,4.889,5.976
ALB,84,4.282,5.223
ALB,85,3.717,4.501
ALB,86,3.193,3.865
ALB,87,2.686,3.308
ALB,88,2.191,2.781
ALB,89,1.716,2.28
ALB,90,1.297,1.839
ALB,91,0.969,1.462
ALB,92,0.716,1.133
ALB,93,0.522,0.858
ALB,94,0.367,0.63
ALB,95,0.242,0.45
ALB,96,0.15,0.323
ALB,97,0.089,0.226
ALB,98,0.052,0.15
ALB,99,0.03,0.095
ALB,100,0.038,0.154
AND,0,0.291,0.275
AND,1,0.239,0.209
AND,2,0.207,0.181
AND,3,0.244,0.236
AND,4,0.281,0.254
AND,5,0.318,0.284
AND,6,0.347,0.319
AND,7,0.362,0.336
AND,8,0.351,0.347
AND,9,0.35,0.352
AND,10,0.373,0.369
AND,11,0.406,0.394
AND,12,0.428,0.417
AND,13,0.426,0.431
AND,14,0.443,0.439
AND,15,0.445,0.419
AND,16,0.439,0.387
AND,17,0.46,0.385
AND,18,0.455,0.401
AND,19,0.445,0.416
AND,20,0.445,0.432
AND,21,0.451,0.443
AND,22,0.478,0.434
AND,23,0.504,0.463
AND,24,0.507,0.481
AND,25,0.54,0.457
AND,26,0.541,0.436
AND,27,0.521,0.434
AND,28,0.54,0.448
AND,29,0.545,0.478
AND,30,0.574,0.504
AND,31,0.567,0.521
AND,32,0.566,0.535
AND,33,0.596,0.531
AND,34,0.589,0.549
AND,35,0.582,0.537
AND,36,0.572,0.535
AND,37,0.565,0.555
AND,38,0.582,0.546
AND,39,0.624,0.565
AND,40,0.65,0.626
AND,41,0.661,0.69
AND,42,0.644,0.686
AND,43,0.661,0.672
AND,44,0.707,0.677
AND,45,0.724,0.708
AND,46,0.728,0.727
AND,47,0.737,0.729
AND,48,0.76,0.743
AND,49,0.762,0.733
AND,50,0.772,0.754
AND,51,0.749,0.727
AND,52,0.722,0.66
AND,53,0.711,0.647
AND,54,0.717,0.679
AND,55,0.72,0.686
AND,56,0.7,0.643
AND,57,0.703,0.639
AND,58,0.685,0.624
AND,59,0.664,0.611
AND,60,0.644,0.62
AND,61,0.609,0.576
AND,62,0.583,0.54
AND,63,0.556,0.518
AND,64,0.515,0.483
AND,65,0.471,0.453
AND,66,0.457,0.412
AND,67,0.438,0.393
AND,68,0.394,0.375
AND,69,0.37,0.349
AND,70,0.355,0.329
AND,71,0.32,0.302
AND,72,0.298,0.29
AND,73,0.285,0.291
AND,74,0.292,0.287
AND,75,0.288,0.275
AND,76,0.245,0.241
AND,77,0.228,0.208
AND,78,0.231,0.211
AND,79,0.212,0.215
AND,80,0.171,0.198
AND,81,0.139,0.166
AND,82,0.134,0.161
AND,83,0.105,0.147
AND,84,0.082,0.111
AND,85,0.09,0.121
AND,86,0.088,0.134
AND,87,0.072,0.12
AND,88,0.057,0.096
AND,89,0.05,0.076
AND,90,0.046,0.08
AND,91,0.04,0.075
AND,92,0.032,0.064
AND,93,0.025,0.056
AND,94,0.021,0.044
AND,95,0.018,0.036
AND,96,0.013,0.027
AND,97,0.009,0.019
AND,98,0.006,0.012
AND,99,0.004,0.007
AND,100,0.004,0.011
ARE,0,54.926,52.61
ARE,1,57.43,55.106
ARE,2,59.389,57.252
ARE,3,59.987,58.035
ARE,4,60.134,58.303
ARE,5,60.361,58.679
ARE,6,60.897,59.44
ARE,7,61.95,60.702
ARE,8,63.194,62.048
ARE,9,63.631,62.55
ARE,10,62.549,61.398
ARE,11,59.862,58.414
ARE,12,55.983,54.379
ARE,13,52.093,50.586
ARE,14,49.185,47.732
ARE,15,47.231,45.727
ARE,16,45.825,44.175
ARE,17,47.526,44.218
ARE,18,57.069,47.819
ARE,19,72.666,53.68
ARE,20,87.221,59.611
ARE,21,97.959,66.24
ARE,22,108.448,73.881
ARE,23,122.847,81.441
ARE,24,141.78,87.4
ARE,25,163.665,89.585
ARE,26,185.143,87.734
ARE,27,203.791,85.36
ARE,28,218.79,86.192
ARE,29,227.95,88.444
ARE,30,229.034,89.61
ARE,31,226.771,92.594
ARE,32,227.365,97.124
ARE,33,226.011,98.833
ARE,34,222.222,98.992
ARE,35,220.694,99.956
ARE,36,212.034,98.076
ARE,37,191.117,92.442
ARE,38,171.412,87.734
ARE,39,161.682,84.287
ARE,40,156.616,79.252
ARE,41,150.017,72.86
ARE,42,141.78,66.751
ARE,43,133.471,60.486
ARE,44,125.151,54.569
ARE,45,117.592,50.537
ARE,46,108.552,46.22
ARE,47,98.347,41.188
ARE,48,91.772,37.057
ARE,49,87.823,35.329
ARE,50,83.607,36.194
ARE,51,76.679,35.34
ARE,52,67.57,32.042
ARE,53,60.842,29.041
ARE,54,57.515,27.631
ARE,55,56.056,28.316
ARE,56,52.556,29.398
ARE,57,45.974,29.081
ARE,58,41.893,26.324
ARE,59,39.967,22.127
ARE,60,34.911,18.677
ARE,61,27.529,16.002
ARE,62,22.32,14.042
ARE,63,19.357,12.174
ARE,64,16.714,10.172
ARE,65,13.489,8.62
ARE,66,10.562,7.534
ARE,67,8.623,6.734
ARE,68,7.424,6.157
ARE,69,6.733,5.731
ARE,70,6.446,5.428
ARE,71,6.346,5.181
ARE,72,6.226,4.936
ARE,73,5.997,4.67
ARE,74,5.649,4.378
ARE,75,4.002,3.342
ARE,76,2.478,2.357
ARE,77,2.243,2.104
ARE,78,2.001,1.912
ARE,79,1.771,1.726
ARE,80,1.676,1.516
ARE,81,1.658,1.387
ARE,82,1.407,1.29
ARE,83,1.172,1.174
ARE,84,0.99,1.06
ARE,85,0.819,0.824
ARE,86,0.583,0.595
ARE,87,0.43,0.462
ARE,88,0.339,0.356
ARE,89,0.215,0.294
ARE,90,0.166,0.238
ARE,91,0.124,0.187
ARE,92,0.087,0.141
ARE,93,0.058,0.101
ARE,94,0.038,0.071
ARE,95,0.026,0.049
ARE,96,0.018,0.034
ARE,97,0.012,0.024
ARE,98,0.007,0.015
ARE,99,0.003,0.009
ARE,100,0.001,0.005
ARG,0,254.052,242.036
ARG,1,260.145,247.792
ARG,2,269.411,256.538
ARG,3,293.565,279.475
ARG,4,331.817,315.8
ARG,5,354.587,337.339
ARG,6,367.942,349.534
ARG,7,381.42,361.664
ARG,8,391.17,370.418
ARG,9,387.392,366.368
ARG,10,377.68,356.747
ARG,11,378.883,357.647
ARG,12,383.36,361.993
ARG,13,379.469,358.568
ARG,14,376.598,355.864
ARG,15,369.796,349.123
ARG,16,362.503,342.334
ARG,17,361.216,342.048
ARG,18,357.661,339.887
ARG,19,353.99,337.289
ARG,20,353.375,337.264
ARG,21,353.849,338.284
ARG,22,355.08,339.882
ARG,23,356.835,341.81
ARG,24,355.397,340.771
ARG,25,353.086,339.13
ARG,26,354.154,340.774
ARG,27,357.538,344.375
ARG,28,360.572,347.503
ARG,29,360.229,347.599
ARG,30,357.012,344.851
ARG,31,353.832,341.839
ARG,32,350.761,339.012
ARG,33,345.543,334.164
ARG,34,340.489,329.527
ARG,35,335.74,325.329
ARG,36,330.725,320.897
ARG,37,326.798,317.61
ARG,38,324.32,316.063
ARG,39,322.496,315.414
ARG,40,320.812,314.969
ARG,41,320.514,315.152
ARG,42,320.077,314.514
ARG,43,319.045,313.084
ARG,44,316.663,310.158
ARG,45,311.913,305.788
ARG,46,303.777,298.94
ARG,47,293.519,290.002
ARG,48,283.286,281.507
ARG,49,272.454,272.798
ARG,50,261.618,263.882
ARG,51,252.268,256.223
ARG,52,243.191,248.374
ARG,53,234.835,240.843
ARG,54,227.485,233.976
ARG,55,220.404,227.183
ARG,56,214.312,221.555
ARG,57,210.544,218.332
ARG,58,209.421,217.931
ARG,59,207.856,217.244
ARG,60,204.368,214.583
ARG,61,199.441,210.677
ARG,62,194.309,206.917
ARG,63,189.291,203.543
ARG,64,182.351,198.365
ARG,65,176.123,193.972
ARG,66,171.093,190.941
ARG,67,164.599,186.49
ARG,68,157.587,181.531
ARG,69,150.691,176.736
ARG,70,143.562,171.608
ARG,71,135.984,165.942
ARG,72,128.159,159.909
ARG,73,120.178,152.977
ARG,74,112.921,146.893
ARG,75,105.749,141.25
ARG,76,97.574,133.881
ARG,77,89.167,125.865
ARG,78,80.937,117.97
ARG,79,72.922,110.138
ARG,80,65.213,102.317
ARG,81,57.884,94.514
ARG,82,51.003,86.773
ARG,83,44.624,79.177
ARG,84,38.753,71.799
ARG,85,33.447,64.768
ARG,86,28.669,58.083
ARG,87,24.272,51.619
ARG,88,20.189,45.301
ARG,89,16.492,39.212
ARG,90,13.258,33.584
ARG,91,10.492,28.457
ARG,92,8.188,23.786
ARG,93,6.313,19.532
ARG,94,4.811,15.731
ARG,95,3.603,12.342
ARG,96,2.636,9.368
ARG,97,1.882,6.91
ARG,98,1.313,4.981
ARG,99,0.895,3.503
ARG,100,1.558,6.455
ARM,0,18.336,16.904
ARM,1,17.957,16.801
ARM,2,17.814,16.89
ARM,3,18.425,17.37
ARM,4,18.986,17.811
ARM,5,19.453,18.172
ARM,6,19.947,18.555
ARM,7,20.428,18.919
ARM,8,20.828,19.206
ARM,9,21.178,19.442
ARM,10,21.382,19.547
ARM,11,21.408,19.519
ARM,12,21.237,19.409
ARM,13,20.881,19.219
ARM,14,20.352,18.916
ARM,15,19.671,18.518
ARM,16,18.956,18.105
ARM,17,18.372,17.791
ARM,18,17.953,17.602
ARM,19,17.674,17.514
ARM,20,17.52,17.503
ARM,21,17.483,17.564
ARM,22,17.555,17.708
ARM,23,17.723,17.921
ARM,24,17.962,18.189
ARM,25,18.282,18.537
ARM,26,18.726,19.033
ARM,27,19.309,19.742
ARM,28,20.049,20.665
ARM,29,21.039,21.9
ARM,30,22.321,23.483
ARM,31,23.635,25.136
ARM,32,24.526,26.358
ARM,33,24.739,26.809
ARM,34,24.482,26.755
ARM,35,23.986,26.441
ARM,36,23.36,26.005
ARM,37,22.723,25.591
ARM,38,22.11,25.088
ARM,39,21.524,24.526
ARM,40,20.983,24.021
ARM,41,20.519,23.591
ARM,42,19.976,23.096
ARM,43,19.221,22.387
ARM,44,18.354,21.545
ARM,45,17.465,20.674
ARM,46,16.643,19.885
ARM,47,15.929,19.215
ARM,48,15.313,18.61
ARM,49,14.885,18.211
ARM,50,14.661,18.037
ARM,51,14.533,17.984
ARM,52,14.472,17.996
ARM,53,14.434,18.038
ARM,54,14.435,18.195
ARM,55,14.515,18.48
ARM,56,14.748,18.961
ARM,57,15.201,19.703
ARM,58,15.866,20.726
ARM,59,16.5,21.962
ARM,60,16.849,23.078
ARM,61,17.076,24.02
ARM,62,17.174,24.54
ARM,63,16.88,24.261
ARM,64,15.992,23.241
ARM,65,14.875,21.814
ARM,66,13.79,20.48
ARM,67,12.676,19.141
ARM,68,11.626,17.678
ARM,69,10.425,16.238
ARM,70,9.594,15.341
ARM,71,8.976,14.575
ARM,72,8.134,13.361
ARM,73,7.036,11.924
ARM,74,5.894,10.54
ARM,75,5.331,9.787
ARM,76,4.721,8.764
ARM,77,3.518,6.63
ARM,78,2.36,4.523
ARM,79,1.806,3.576
ARM,80,2.043,4.178
ARM,81,2.571,5.436
ARM,82,2.894,6.301
ARM,83,2.814,6.364
ARM,84,2.465,5.865
ARM,85,2.12,5.255
ARM,86,1.752,4.452
ARM,87,1.351,3.464
ARM,88,0.972,2.524
ARM,89,0.713,1.927
ARM,90,0.566,1.603
ARM,91,0.44,1.302
ARM,92,0.322,0.999
ARM,93,0.234,0.76
ARM,94,0.169,0.571
ARM,95,0.117,0.404
ARM,96,0.073,0.263
ARM,97,0.041,0.162
ARM,98,0.022,0.096
ARM,99,0.011,0.052
ARM,100,0.009,0.05
ASM,0,0.371,0.351
ASM,1,0.376,0.356
ASM,2,0.379,0.361
ASM,3,0.397,0.402
ASM,4,0.421,0.443
ASM,5,0.431,0.444
ASM,6,0.439,0.446
ASM,7,0.447,0.449
ASM,8,0.455,0.45
ASM,9,0.463,0.454
ASM,10,0.47,0.459
ASM,11,0.477,0.464
ASM,12,0.482,0.469
ASM,13,0.487,0.474
ASM,14,0.489,0.475
ASM,15,0.49,0.475
ASM,16,0.493,0.475
ASM,17,0.491,0.466
ASM,18,0.487,0.453
ASM,19,0.479,0.437
ASM,20,0.457,0.413
ASM,21,0.424,0.385
ASM,22,0.382,0.351
ASM,23,0.33,0.312
ASM,24,0.288,0.28
ASM,25,0.261,0.259
ASM,26,0.248,0.251
ASM,27,0.253,0.259
ASM,28,0.268,0.278
ASM,29,0.287,0.297
ASM,30,0.301,0.307
ASM,31,0.307,0.312
ASM,32,0.311,0.313
ASM,33,0.308,0.304
ASM,34,0.301,0.293
ASM,35,0.298,0.288
ASM,36,0.293,0.282
ASM,37,0.287,0.276
ASM,38,0.29,0.273
ASM,39,0.294,0.274
ASM,40,0.292,0.271
ASM,41,0.291,0.275
ASM,42,0.296,0.286
ASM,43,0.308,0.291
ASM,44,0.311,0.3
ASM,45,0.31,0.306
ASM,46,0.313,0.307
ASM,47,0.313,0.308
ASM,48,0.311,0.302
ASM,49,0.307,0.294
ASM,50,0.305,0.294
ASM,51,0.308,0.288
ASM,52,0.308,0.282
ASM,53,0.315,0.286
ASM,54,0.318,0.283
ASM,55,0.309,0.274
ASM,56,0.302,0.271
ASM,57,0.293,0.27
ASM,58,0.28,0.262
ASM,59,0.261,0.257
ASM,60,0.238,0.249
ASM,61,0.22,0.237
ASM,62,0.216,0.22
ASM,63,0.207,0.209
ASM,64,0.191,0.2
ASM,65,0.178,0.178
ASM,66,0.166,0.163
ASM,67,0.154,0.154
ASM,68,0.14,0.147
ASM,69,0.128,0.136
ASM,70,0.117,0.122
ASM,71,0.104,0.115
ASM,72,0.092,0.106
ASM,73,0.082,0.098
ASM,74,0.076,0.091
ASM,75,0.07,0.083
ASM,76,0.059,0.075
ASM,77,0.051,0.067
ASM,78,0.044,0.054
ASM,79,0.038,0.045
ASM,80,0.032,0.042
ASM,81,0.028,0.037
ASM,82,0.024,0.033
ASM,83,0.021,0.029
ASM,84,0.018,0.026
ASM,85,0.014,0.024
ASM,86,0.012,0.021
ASM,87,0.01,0.017
ASM,88,0.008,0.013
ASM,89,0.006,0.01
ASM,90,0.005,0.007
ASM,91,0.003,0.005
ASM,92,0.003,0.004
ASM,93,0.002,0.003
ASM,94,0.001,0.002
ASM,95,0.001,0.002
ASM,96,0.001,0.001
ASM,97,0,0.001
ASM,98,0,0
ASM,99,0,0
ASM,100,0,0
ATG,0,0.56,0.543
ATG,1,0.563,0.546
ATG,2,0.563,0.547
ATG,3,0.545,0.53
ATG,4,0.511,0.497
ATG,5,0.515,0.5
ATG,6,0.531,0.516
ATG,7,0.546,0.53
ATG,8,0.557,0.541
ATG,9,0.55,0.534
ATG,10,0.572,0.555
ATG,11,0.608,0.59
ATG,12,0.627,0.609
ATG,13,0.669,0.65
ATG,14,0.71,0.691
ATG,15,0.681,0.662
ATG,16,0.64,0.624
ATG,17,0.633,0.617
ATG,18,0.634,0.618
ATG,19,0.642,0.625
ATG,20,0.655,0.638
ATG,21,0.675,0.658
ATG,22,0.716,0.699
ATG,23,0.706,0.691
ATG,24,0.678,0.664
ATG,25,0.714,0.7
ATG,26,0.74,0.737
ATG,27,0.746,0.751
ATG,28,0.734,0.747
ATG,29,0.705,0.731
ATG,30,0.693,0.718
ATG,31,0.683,0.709
ATG,32,0.692,0.737
ATG,33,0.708,0.748
ATG,34,0.692,0.724
ATG,35,0.684,0.729
ATG,36,0.682,0.739
ATG,37,0.668,0.734
ATG,38,0.666,0.719
ATG,39,0.662,0.701
ATG,40,0.642,0.696
ATG,41,0.625,0.684
ATG,42,0.627,0.667
ATG,43,0.622,0.664
ATG,44,0.594,0.658
ATG,45,0.586,0.666
ATG,46,0.601,0.69
ATG,47,0.598,0.699
ATG,48,0.579,0.683
ATG,49,0.572,0.659
ATG,50,0.587,0.669
ATG,51,0.617,0.717
ATG,52,0.628,0.746
ATG,53,0.61,0.748
ATG,54,0.592,0.736
ATG,55,0.594,0.722
ATG,56,0.596,0.716
ATG,57,0.599,0.723
ATG,58,0.597,0.71
ATG,59,0.557,0.672
ATG,60,0.51,0.641
ATG,61,0.484,0.612
ATG,62,0.467,0.598
ATG,63,0.455,0.589
ATG,64,0.444,0.558
ATG,65,0.417,0.515
ATG,66,0.379,0.477
ATG,67,0.349,0.447
ATG,68,0.323,0.418
ATG,69,0.29,0.384
ATG,70,0.273,0.359
ATG,71,0.278,0.352
ATG,72,0.261,0.334
ATG,73,0.223,0.295
ATG,74,0.191,0.261
ATG,75,0.171,0.249
ATG,76,0.158,0.239
ATG,77,0.143,0.227
ATG,78,0.126,0.2
ATG,79,0.111,0.171
ATG,80,0.097,0.158
ATG,81,0.083,0.145
ATG,82,0.072,0.13
ATG,83,0.062,0.115
ATG,84,0.053,0.102
ATG,85,0.046,0.09
ATG,86,0.041,0.081
ATG,87,0.034,0.077
ATG,88,0.027,0.07
ATG,89,0.022,0.057
ATG,90,0.017,0.046
ATG,91,0.013,0.04
ATG,92,0.01,0.036
ATG,93,0.007,0.032
ATG,94,0.006,0.026
ATG,95,0.004,0.02
ATG,96,0.002,0.016
ATG,97,0.002,0.012
ATG,98,0.001,0.01
