iso3,year,activity,occupation,value,source
ARG,2019,G,7,41.84,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,8,42.71,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,9,37.46,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,TOTAL,42.6,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,X,39.51,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,1,46.49,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,2,40.21,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,3,42.74,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,4,41.69,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,5,39.64,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,7,43.95,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,8,50.66,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,9,36.83,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,TOTAL,47.15,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,X,41.24,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,1,46.27,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,2,37.01,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,3,43.46,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,4,38.61,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,5,39.34,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,7,35.42,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,8,35.03,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,9,36.74,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,TOTAL,39.36,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,X,42.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,1,42.52,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,2,38.41,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,3,37.21,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,4,39.5,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,5,38.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,7,42.23,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,8,44.27,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,9,38.74,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,TOTAL,38.9,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,X,42.91,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,1,43.01,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,2,38.16,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,3,40.27,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,4,38.19,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,5,36.7,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,7,36.61,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,8,40.54,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,9,38.66,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,TOTAL,38.48,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,X,36.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,1,41.43,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,2,42.19,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,3,37.54,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,4,31.86,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,5,30.12,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,7,44.41,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,L,9,34.58,"LFS - Encuesta Permanente de Hogares, Urbano"
