iso3,year,sex,class,employed,source
ISR,2017,F,TOTAL,1803.684,LFS - Labour Force Survey
ISR,2017,M,1,1698.103,LFS - Labour Force Survey
ISR,2017,M,2,117.706,LFS - Labour Force Survey
ISR,2017,M,3,180.279,LFS - Labour Force Survey
ISR,2017,M,4,11.987,LFS - Labour Force Survey
ISR,2017,M,5,1.041,LFS - Labour Force Survey
ISR,2017,M,6,1.046,LFS - Labour Force Survey
ISR,2017,M,TOTAL,2010.162,LFS - Labour Force Survey
ISR,2018,F,1,1689.137,LFS - Labour Force Survey
ISR,2018,F,2,25.961,LFS - Labour Force Survey
ISR,2018,F,3,139.316,LFS - Labour Force Survey
ISR,2018,F,4,8.6,LFS - Labour Force Survey
ISR,2018,F,5,1.417,LFS - Labour Force Survey
ISR,2018,F,6,0.448,LFS - Labour Force Survey
ISR,2018,F,TOTAL,1864.879,LFS - Labour Force Survey
