iso3,year,function,sex,share,source
BRN,2011,pension,T,0.8170,ILO - Social Security Inquiry Database
BRN,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
BRN,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
BRN,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
BRN,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
BRN,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BRN,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
BRN,2020,disab,F,1.0000,ILO - Social Security Inquiry Database
BRN,2020,disab,M,1.0000,ILO - Social Security Inquiry Database
BRN,2020,disab,T,1.0000,ILO - Social Security Inquiry Database
BRN,2020,pension,F,1.0000,ILO - Social Security Inquiry Database
BRN,2020,pension,M,1.0000,ILO - Social Security Inquiry Database
BRN,2020,pension,T,1.0000,ILO - Social Security Inquiry Database
BRN,2021,disab,F,1.0000,ILO - Social Security Inquiry Database
BRN,2021,disab,M,1.0000,ILO - Social Security Inquiry Database
BRN,2021,disab,T,1.0000,ILO - Social Security Inquiry Database
BRN,2021,pension,F,1.0000,ILO - Social Security Inquiry Database
BRN,2021,pension,M,1.0000,ILO - Social Security Inquiry Database
BRN,2021,pension,T,1.0000,ILO - Social Security Inquiry Database
BTN,2012,pension,T,0.0320,ILO - Social Security Inquiry Database
BTN,2019,pension,T,0.1880,ILO - Social Security Inquiry Database
BTN,2021,disab,F,0.0060,ILO - Social Security Inquiry Database
BTN,2021,disab,M,0.0070,ILO - Social Security Inquiry Database
BTN,2021,disab,T,0.0070,ILO - Social Security Inquiry Database
BWA,2015,pension,F,1.0000,ILO - Social Security Inquiry Database
BWA,2015,pension,M,1.0000,ILO - Social Security Inquiry Database
BWA,2015,pension,T,1.0000,ILO - Social Security Inquiry Database
BWA,2016,pension,F,1.0000,ILO - Social Security Inquiry Database
BWA,2016,pension,M,1.0000,ILO - Social Security Inquiry Database
BWA,2016,pension,T,1.0000,ILO - Social Security Inquiry Database
BWA,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
BWA,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BWA,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
BWA,2020,pension,F,1.0000,ILO - Social Security Inquiry Database
BWA,2020,pension,M,1.0000,ILO - Social Security Inquiry Database
BWA,2020,pension,T,1.0000,ILO - Social Security Inquiry Database
BWA,2022,disab,T,0.0270,ILO - Social Security Inquiry Database
BWA,2022,pension,T,1.0000,ILO - Social Security Inquiry Database
CAF,2019,disab,T,0.0030,ILO - Social Security Inquiry Database
CAF,2019,pension,T,0.0470,ILO - Social Security Inquiry Database
CAN,2013,pension,F,0.9300,ILO - Social Security Inquiry Database
CAN,2013,pension,M,0.9100,ILO - Social Security Inquiry Database
CAN,2013,pension,T,0.9210,ILO - Social Security Inquiry Database
CAN,2014,pension,F,0.9580,ILO - Social Security Inquiry Database
CAN,2014,pension,M,0.9410,ILO - Social Security Inquiry Database
CAN,2014,pension,T,0.9510,ILO - Social Security Inquiry Database
CAN,2015,disab,T,0.6720,ILO - Social Security Inquiry Database
